"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-7.450755596E0,6.866570473E0,3.457227230E0
2.499531200E-2,-8.935160637E0,5.975927353E0,4.309563160E0
4.999218700E-2,-8.954314232E0,6.694188118E0,4.711789131E0
7.498906200E-2,-6.895300865E0,7.402871609E0,4.185064793E0
9.998593700E-2,-5.133168221E0,6.387730122E0,4.012681961E0
1.249812500E-1,-4.424484730E0,5.123591423E0,5.841852188E0
1.450046870E-1,-4.328716755E0,4.127603531E0,6.148310184E0
1.700015620E-1,-4.548983097E0,3.045424461E0,6.014234543E0
1.949968750E-1,-5.334281445E0,2.700659513E0,6.598419666E0
2.199937500E-1,-6.617573261E0,1.810016513E0,6.952761650E0
2.449906250E-1,-6.962338448E0,1.618480325E0,7.374141216E0
2.699859370E-1,-6.062118530E0,7.374141216E-1,7.920019150E0
2.949828120E-1,-5.056553841E0,1.513135433E0,6.224924564E0
3.150046870E-1,-4.979939461E0,2.729389906E0,6.636727333E0
3.400015620E-1,-5.372588634E0,3.265691042E0,7.872135162E0
3.649984370E-1,-7.565677166E0,2.585737705E-1,8.753201485E0
3.899968750E-1,-7.297526836E0,-3.926490843E-1,7.326257229E0
4.100265620E-1,-6.828263283E0,6.512228847E-1,6.732495308E0
4.349812500E-1,-6.339846134E0,9.576806799E-3,7.757213593E0
4.550031250E-1,-6.847416878E0,1.819593310E0,8.360552788E0
4.800015620E-1,-5.947196960E0,-2.394201756E-1,6.895300865E0
5.049968750E-1,-5.880159378E0,-8.427590132E-1,8.695740700E0
5.299937500E-1,-7.632715225E0,7.757213712E-1,8.379706383E0
5.549906250E-1,-7.220912457E0,9.002198577E-1,7.517793179E0
5.799859370E-1,-6.560112476E0,-1.723825186E-1,7.613561630E0
6.049828120E-1,-7.833827972E0,6.991068721E-1,6.933608055E0
6.250046870E-1,-7.709329605E0,4.213795066E-1,7.661445618E0
6.500046870E-1,-6.042964935E0,8.619125932E-2,7.077260017E0
6.749984370E-1,-4.127603531E0,3.351882398E-1,6.521805286E0
6.999953120E-1,-4.232948780E0,-1.656787634E0,6.368576527E0
7.249906250E-1,-4.424484730E0,-2.892195702E0,6.282385349E0
7.499875000E-1,-3.275267839E0,-1.158793569E0,5.841852188E0
7.749843750E-1,-3.543418646E-1,-2.489969730E0,9.797073364E0
7.950062500E-1,-1.752555609E0,-3.227383852E0,1.087925243E1
8.200015620E-1,-4.299986362E0,-3.600879431E0,1.230619717E1
8.450000000E-1,-6.560112476E0,-6.129156351E-1,1.085052204E1
8.700015620E-1,-7.642292023E0,5.075707436E-1,9.021351814E0
8.949921870E-1,-8.437167168E0,1.857900500E0,7.824251175E0
9.199890620E-1,-8.236053467E0,6.033388376E-1,7.594407558E0
9.449859370E-1,-7.977479935E0,1.848323703E0,6.732495308E0
9.699828120E-1,-5.066130638E0,2.585737705E-1,8.006210327E0
9.900031250E-1,3.064578176E-1,7.182605267E-1,7.077260017E0
1.010032812E0,2.260126352E0,-1.149216816E-1,7.508216381E0
1.034990625E0,-3.447650373E-1,-3.888183594E0,9.787496567E0
1.059987500E0,-4.769249916E0,-2.576161146E0,1.176989555E1
1.084984375E0,-6.148310184E0,1.551442742E0,1.189439392E1
1.109981250E0,-6.358999729E0,3.418920040E0,8.427590370E0
1.130003125E0,-6.751648903E0,3.198653460E0,8.877699852E0
1.150014062E0,-3.160346270E0,3.476380825E0,9.825803757E0
1.174990625E0,-1.436520964E-1,2.796427488E0,7.690176010E0
1.199989062E0,1.072602391E0,3.734954596E-1,9.490615845E0
1.224984375E0,9.959878922E-1,-3.093308687E0,9.461885452E0
1.245006250E0,-1.034295082E0,-2.930502892E0,8.647856712E0
1.270003125E0,-1.340752959E0,3.064578176E-1,9.308655739E0
1.294998437E0,-5.937620401E-1,2.518700123E0,9.940725327E0
1.319995312E0,-4.213795066E-1,1.350329757E0,1.094629002E1
1.344990625E0,-5.458779931E-1,1.618480325E0,1.171243477E1
1.369989062E0,2.853888512E0,1.254561663E0,1.014183807E1
1.394984375E0,2.193088770E0,-2.777273953E-1,1.086967564E1
1.419981250E0,1.063025594E0,1.264138460E0,9.730035782E0
1.440003125E0,-6.512228847E-1,3.236960649E0,8.820239067E0
1.465000000E0,-4.788403511E-1,3.629609823E0,9.232041359E0
1.489996875E0,8.236053586E-1,3.323152065E0,8.571242332E0
1.514992187E0,1.225831270E0,3.409343243E0,9.002198219E0
1.539989062E0,1.206677675E0,3.083731890E0,7.153874874E0
1.564984375E0,-5.075707436E-1,2.748543501E0,8.350975990E0
1.589982812E0,-3.734954596E-1,3.878606796E0,8.532935143E0
1.610004687E0,-2.873041928E-1,4.041412354E0,8.944737434E0
1.635000000E0,5.363011956E-1,3.428496838E0,1.077390766E1
1.659996875E0,9.193734527E-1,4.194641590E0,9.643844604E0
1.684993750E0,3.160346150E-1,5.583278179E0,8.829815865E0
1.709989062E0,1.446097851E0,5.640739441E0,8.647856712E0
1.734985937E0,1.465251446E0,4.261679173E0,9.481039047E0
1.759982812E0,2.135627985E0,4.060565948E0,8.619126320E0
1.780006250E0,-7.661445439E-2,4.022258759E0,8.561665535E0
1.800023437E0,-7.469909191E-1,4.261679173E0,8.216899872E0
