"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.649953120E-1,5.402492046E0,-1.088561893E0,0.000000000E0
1.899906250E-1,5.402492046E0,-1.088561893E0,0.000000000E0
2.100046870E-1,-1.363451242E0,-5.131268129E-2,-9.395107627E-1
2.300046870E-1,-1.226617336E0,-2.089159042E-1,-8.552113175E-1
2.550000000E-1,-1.069014192E0,-7.782422900E-1,-7.611380816E-1
2.799984370E-1,-9.847147465E-1,-9.101892114E-1,-6.719517708E-1
3.000234370E-1,-1.009149313E0,-7.794640660E-1,-4.789183438E-1
3.249843750E-1,-1.198517561E0,-3.543018401E-1,-3.799581826E-1
3.499812500E-1,-1.422094226E0,-3.714060783E-1,-3.530800939E-1
3.700250000E-1,-1.387885809E0,-1.844813079E-1,-2.651154995E-1
3.950000000E-1,-1.204626203E0,-2.186897546E-1,-3.347541392E-1
4.199968750E-1,-1.188743711E0,-5.546656251E-1,-3.726277947E-1
4.449937500E-1,-1.143539667E0,-3.885102868E-1,-1.991420686E-1
4.699906250E-1,-9.957103133E-1,-3.408628106E-1,4.886921961E-3
4.949859370E-1,-8.564330339E-1,-6.963863969E-2,3.200933933E-1
5.199906250E-1,-5.448917747E-1,-2.577851415E-1,4.092797041E-1
5.400031250E-1,-4.886921942E-1,-1.099557430E-2,4.300491214E-1
5.600031250E-1,-4.459316134E-1,8.918632567E-2,4.105014503E-1
5.849921870E-1,-3.408628106E-1,2.309070528E-1,2.382374406E-1
6.099875000E-1,-4.288274050E-1,-2.199114859E-2,-4.153883457E-2
6.349843750E-1,-5.241223574E-1,-4.801400900E-1,-1.893682182E-1
6.599828120E-1,-5.424483418E-1,-5.461135507E-1,-1.649336070E-1
6.800046870E-1,-7.000515461E-1,-5.131267905E-1,-1.062905490E-1
7.050000000E-1,-6.817256212E-1,-7.904596329E-1,-1.026253626E-1
7.300109370E-1,-5.082398653E-1,-1.225395679E0,-2.565634064E-2
7.549921870E-1,-4.153883457E-1,-1.626123309E0,-7.086037099E-2
7.799906250E-1,-7.293730974E-1,-1.561371565E0,-2.101376355E-1
8.049843750E-1,-4.862487316E-1,1.295034289E-1,-3.897320330E-1
8.250218750E-1,-3.017674387E-1,4.056145251E-1,-4.813618064E-1
8.500218750E-1,-8.918632567E-2,8.393288255E-1,-4.630358517E-1
8.750015620E-1,3.726277947E-1,9.773843884E-1,-3.726277947E-1
9.000015620E-1,6.511823535E-1,1.453859210E-1,-3.640756905E-1
9.249953120E-1,8.087855577E-1,-1.120326877E0,-4.105014503E-1
9.499890620E-1,5.143485069E-1,-1.937664509E0,-5.632177591E-1
9.749875000E-1,-1.588249579E-2,-2.327396631E0,-5.302309990E-1
9.999843750E-1,1.160643920E-1,-1.802052498E0,-4.495968223E-1
1.020006250E0,2.345722467E-1,-8.784242272E-1,-5.424483418E-1
1.045001562E0,5.253440738E-1,-1.881464869E-1,-8.087855577E-1
1.070000000E0,9.004153609E-1,1.258382350E-1,-4.544837475E-1
1.094995312E0,9.541714787E-1,-2.565633953E-1,-2.345722467E-1
1.119992187E0,6.646213531E-1,-8.038986325E-1,-1.783726513E-1
1.144987500E0,5.180137157E-1,-1.126435518E0,8.307766914E-2
1.169985937E0,4.178318083E-1,-1.525941372E0,1.844813079E-1
1.194981250E0,1.148426607E-1,-1.419650793E0,-2.443460980E-3
1.215003125E0,1.380555481E-1,-9.517280459E-1,1.954768784E-2
1.240000000E0,4.178318083E-1,-8.246680498E-1,3.775147200E-1
1.264995312E0,5.974261761E-1,-5.473352671E-1,8.539896011E-1
1.289993750E0,3.933972120E-1,-7.342600226E-1,1.020144939E0
1.314989062E0,3.127630055E-1,-1.062905550E0,9.688322544E-1
1.339985937E0,4.532620013E-1,-1.286482215E0,1.054353356E0
1.360010937E0,5.473352671E-1,-1.285260439E0,9.553932548E-1
1.385004687E0,7.709119320E-1,-9.285151362E-1,1.026253581E0
1.410028125E0,8.515461683E-1,-2.993239760E-1,8.833111525E-1
1.434996875E0,1.032362223E0,-3.445279896E-1,9.040805697E-1
1.459995312E0,9.517280459E-1,-7.538077235E-1,7.806857824E-1
1.484990625E0,1.027475357E0,-1.048244715E0,4.850269854E-1
1.509985937E0,1.044579506E0,-9.920451641E-1,1.123992056E-1
1.534982812E0,9.737191796E-1,-6.169738770E-1,-3.885102868E-1
1.555004687E0,1.016479731E0,-6.646213531E-1,-5.876523852E-1
1.580003125E0,8.698720932E-1,-5.461135507E-1,-6.585127115E-1
1.604998437E0,6.560692787E-1,-8.857545853E-1,-6.609562039E-1
1.629995312E0,5.571091175E-1,-8.820893764E-1,-7.073819637E-1
1.650004687E0,6.682865620E-1,-9.114109278E-1,-9.150761366E-1
1.674982812E0,6.963863969E-1,-1.003040671E0,-1.210734844E0
1.695004687E0,5.913175344E-1,-8.539896011E-1,-1.292590857E0
1.720001562E0,5.485569835E-1,-8.808676600E-1,-1.268156171E0
1.744996875E0,6.585127115E-1,-7.953465581E-1,-1.116661668E0
1.769993750E0,8.686503768E-1,-4.996877611E-1,-8.393288255E-1
1.794990625E0,7.000515461E-1,-4.361577928E-1,-6.792821288E-1
1.819987500E0,7.941247821E-1,-5.998696685E-1,-4.031710625E-1
1.844982812E0,6.572909951E-1,-1.029918790E0,-1.099557430E-1
1.865004687E0,7.990117073E-1,-1.066570759E0,-1.221730490E-3
1.890003125E0,9.737191796E-1,-8.197811246E-1,-1.747074574E-1
1.910035937E0,1.056796908E0,-6.707300544E-1,-1.795943826E-1
1.934989062E0,8.845328689E-1,-2.956587672E-1,-2.968805134E-1
1.959985937E0,1.031140566E0,-5.864306167E-2,-3.457497358E-1
1.984981250E0,1.048244715E0,3.738495111E-1,-3.481931984E-1
2.005004687E0,1.018923163E0,4.667010307E-1,-3.616322279E-1
2.030001562E0,8.539896011E-1,3.811798990E-1,-2.419026345E-1
2.054996875E0,4.776966274E-1,-2.321287990E-2,-1.429424584E-1
