"Time (s)","Illuminance (lx)"
9.979687000E-3,1.000000000E0
1.299859370E-1,2.000000000E0
2.499984370E-1,2.000000000E0
3.700250000E-1,2.000000000E0
4.899796870E-1,2.000000000E0
6.099875000E-1,3.000000000E0
7.300109370E-1,3.000000000E0
8.500218750E-1,3.000000000E0
9.699828120E-1,2.000000000E0
1.089990625E0,4.000000000E0
1.210043750E0,5.000000000E0
1.330026562E0,5.000000000E0
1.449982812E0,6.000000000E0
1.569992187E0,6.000000000E0
1.690000000E0,6.000000000E0
1.809976562E0,7.000000000E0
1.929984375E0,7.000000000E0
2.049992187E0,7.000000000E0
2.170001562E0,7.000000000E0
2.289978125E0,6.000000000E0
2.409985937E0,6.000000000E0
2.529993750E0,5.000000000E0
2.650001562E0,1.000000000E0
2.769987500E0,2.000000000E0
2.889987500E0,4.000000000E0
3.009995312E0,7.000000000E0
3.130003125E0,7.000000000E0
3.249992187E0,7.000000000E0
3.369987500E0,6.000000000E0
3.489995312E0,6.000000000E0
3.610032812E0,6.000000000E0
3.729982812E0,5.000000000E0
3.849995312E0,2.000000000E0
3.969996875E0,1.000000000E0
4.090004687E0,1.000000000E0
4.209996875E0,2.000000000E0
4.329990625E0,2.000000000E0
4.449998437E0,2.000000000E0
4.570006250E0,2.000000000E0
4.689982812E0,2.000000000E0
4.809990625E0,2.000000000E0
4.930001562E0,2.000000000E0
5.049975000E0,6.000000000E0
5.169984375E0,2.000000000E0
5.289992187E0,2.000000000E0
5.410001562E0,4.000000000E0
5.529990625E0,6.000000000E0
5.649989062E0,6.000000000E0
5.770031250E0,5.000000000E0
5.890001562E0,5.000000000E0
6.009992187E0,4.000000000E0
6.129985937E0,5.000000000E0
6.250017187E0,5.000000000E0
6.370003125E0,7.000000000E0
6.489979687E0,6.000000000E0
6.609987500E0,7.000000000E0
6.729996875E0,7.000000000E0
6.850004687E0,7.000000000E0
6.969981250E0,7.000000000E0
7.089989062E0,7.000000000E0
7.210018750E0,7.000000000E0
7.330006250E0,6.000000000E0
7.449995312E0,5.000000000E0
7.569990625E0,4.000000000E0
7.690023437E0,5.000000000E0
7.810006250E0,5.000000000E0
7.929982812E0,4.000000000E0
8.050029687E0,5.000000000E0
8.170000000E0,5.000000000E0
8.289975000E0,7.000000000E0
8.409984375E0,7.000000000E0
8.529992187E0,7.000000000E0
8.650004687E0,7.000000000E0
8.769978125E0,7.000000000E0
8.889984375E0,6.000000000E0
9.009993750E0,5.000000000E0
9.130003125E0,4.000000000E0
9.249978125E0,4.000000000E0
9.369987500E0,4.000000000E0
9.489995312E0,4.000000000E0
9.610003125E0,6.000000000E0
9.729981250E0,7.000000000E0
9.849987500E0,7.000000000E0
9.969998437E0,7.000000000E0
1.009000469E1,7.000000000E0
1.020998281E1,8.000000000E0
1.032998906E1,7.000000000E0
1.044999688E1,6.000000000E0
1.057000625E1,4.000000000E0
1.068998281E1,3.000000000E0
1.080999063E1,1.000000000E0
1.092999844E1,1.000000000E0
1.105000625E1,2.000000000E0
1.116998438E1,3.000000000E0
1.128999063E1,7.000000000E0
1.141000000E1,7.000000000E0
1.152997500E1,7.000000000E0
1.164999844E1,7.000000000E0
1.176999219E1,7.000000000E0
1.189000156E1,6.000000000E0
1.200997812E1,6.000000000E0
1.212998594E1,2.000000000E0
1.225002344E1,2.000000000E0
1.237000156E1,1.000000000E0
1.249002031E1,2.000000000E0
1.260998594E1,2.000000000E0
1.272999531E1,6.000000000E0
1.285000312E1,7.000000000E0
1.296997969E1,7.000000000E0
1.308998906E1,6.000000000E0
1.320999688E1,7.000000000E0
1.333000938E1,7.000000000E0
1.344998125E1,6.000000000E0
1.356998906E1,5.000000000E0
1.368999688E1,3.000000000E0
1.381000469E1,2.000000000E0
1.392998281E1,6.000000000E0
1.405000625E1,3.000000000E0
1.416999844E1,7.000000000E0
1.428997500E1,7.000000000E0
1.440998750E1,7.000000000E0
1.452999219E1,8.000000000E0
1.465000000E1,7.000000000E0
1.476997656E1,6.000000000E0
1.488998438E1,6.000000000E0
1.500999531E1,5.000000000E0
1.513000156E1,5.000000000E0
1.524998281E1,7.000000000E0
1.536998594E1,7.000000000E0
1.548999375E1,7.000000000E0
1.561000156E1,7.000000000E0
1.572997969E1,8.000000000E0
1.585001250E1,7.000000000E0
1.596999531E1,7.000000000E0
1.609000313E1,6.000000000E0
1.621000156E1,6.000000000E0
1.632998750E1,5.000000000E0
1.644999531E1,5.000000000E0
1.657000469E1,5.000000000E0
1.669001250E1,6.000000000E0
1.680998906E1,7.000000000E0
1.692999688E1,7.000000000E0
1.705000625E1,7.000000000E0
1.716998281E1,7.000000000E0
1.728999062E1,7.000000000E0
1.741002969E1,7.000000000E0
1.752998281E1,5.000000000E0
1.765000312E1,5.000000000E0
1.776999219E1,6.000000000E0
1.789000000E1,6.000000000E0
1.801000156E1,7.000000000E0
1.812998594E1,7.000000000E0
1.825000781E1,8.000000000E0
1.837000625E1,7.000000000E0
1.848997812E1,7.000000000E0
1.860998594E1,6.000000000E0
1.872999375E1,6.000000000E0
1.885000312E1,5.000000000E0
1.896997969E1,5.000000000E0
1.908998750E1,5.000000000E0
1.920999531E1,6.000000000E0
1.933000312E1,8.000000000E0
1.944998125E1,8.000000000E0
1.956998750E1,8.000000000E0
1.968999688E1,7.000000000E0
1.981000469E1,7.000000000E0
