"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.497656200E-2,-2.247499943E0,-9.784999490E-1,4.016299725E0
5.499843700E-2,-1.743600011E0,-1.427000016E-1,4.393599987E0
8.500000000E-2,1.026899934E0,-2.168999910E-1,3.893999815E0
1.150015620E-1,2.238899946E0,-1.609300017E0,5.346699715E0
1.450046870E-1,2.445499897E0,-3.007499933E0,6.353999615E0
1.750062500E-1,1.873099923E0,-3.253899813E0,5.694099903E0
2.049765620E-1,1.847399950E0,-3.744999886E0,6.967099667E0
2.249984370E-1,1.085799932E0,-4.413599968E0,6.269299984E0
2.550000000E-1,1.334900022E0,-4.031700134E0,6.082999706E0
2.850031250E-1,2.753199816E0,-3.453599930E0,4.852299690E0
3.150046870E-1,3.307600021E0,-1.009400010E0,2.866400003E0
3.449765620E-1,2.671000004E0,-1.546999961E-1,4.043099880E0
3.649984370E-1,6.326000094E-1,-2.303099871E0,3.952699900E0
3.950000000E-1,8.937000036E-1,-1.919099927E0,1.754599929E0
4.250015620E-1,7.530999780E-1,-8.420000076E-1,1.691999912E0
4.550031250E-1,9.307000041E-1,1.067399979E0,2.384699821E0
4.850062500E-1,1.892099977E0,-1.136799932E0,4.672999978E-1
5.149765620E-1,1.021600008E0,1.239999942E-2,2.081300020E0
5.350000000E-1,-4.987999797E-1,1.135399938E0,1.945599914E0
5.650015620E-1,6.541999578E-1,7.558000088E-1,9.693999887E-1
5.950031250E-1,-1.454999894E-1,8.628000021E-1,3.340999782E-1
6.250046870E-1,-4.766999781E-1,1.383000016E0,1.068599939E0
6.549765620E-1,1.645999908E0,1.607999921E0,-2.026000023E-1
6.749984370E-1,2.769799948E0,1.665199995E0,-3.662999868E-1
7.050000000E-1,2.311199903E0,-3.825999796E-1,-5.173000097E-1
7.350015620E-1,1.799899936E0,-4.550999999E-1,-5.279999971E-1
7.650046870E-1,4.774899960E0,5.518999696E-1,-1.667999923E-1
7.950062500E-1,3.511399984E0,-6.351000071E-1,2.981400013E0
8.250218750E-1,8.027999997E-1,-6.581000090E-1,4.421799660E0
8.549781250E-1,-9.896000028E-1,2.733799934E0,2.189300060E0
8.750015620E-1,-2.837899923E0,3.956399918E0,1.733500004E0
9.050031250E-1,-2.633199930E0,4.257699966E0,-6.198999882E-1
9.350046870E-1,-3.680499792E0,3.835599899E0,-2.107999921E-1
9.649765620E-1,-7.315999866E-1,3.348399878E0,8.479999751E-2
9.849984370E-1,2.338299990E0,3.163199902E0,-7.702999711E-1
1.015000000E0,5.980400085E0,1.924699903E0,-1.026299953E0
1.045001562E0,1.031399965E0,-7.509999871E-1,1.789299965E0
1.075004687E0,-2.850299835E0,2.580499887E0,3.946999788E0
1.104975000E0,-2.897699833E0,5.911599636E0,-2.511000037E-1
1.124996875E0,-3.892299891E0,5.725499630E0,-3.676999807E-1
1.155000000E0,4.379999936E-1,5.548899651E0,2.680000067E-1
1.185001562E0,2.886899948E0,3.954099894E0,-1.554899931E0
1.215003125E0,3.110499859E0,2.836000025E-1,1.934999973E-1
1.245006250E0,5.054999590E-1,-9.011999965E-1,-8.589999676E-1
1.274976562E0,1.793999970E-1,2.829299927E0,-3.784999847E-1
1.294998437E0,6.855999827E-1,4.175300121E0,3.281999826E-1
1.325001562E0,4.797999859E-1,3.015199900E0,8.841999769E-1
1.355003125E0,1.270200014E0,3.152799845E0,1.364499927E0
1.385004687E0,2.976399899E0,1.487599969E0,4.170999825E-1
1.414975000E0,1.374499917E0,1.794299960E0,4.839999974E-1
1.434996875E0,-2.768000066E-1,3.697899818E0,-1.096199989E0
1.465000000E0,-5.934999585E-1,4.245299816E0,-5.837000012E-1
1.495001562E0,3.917999864E-1,3.481299877E0,-1.475799918E0
1.525003125E0,5.986999869E-1,3.493499994E0,-1.049899936E0
1.555004687E0,-8.344999552E-1,2.396100044E0,-2.282399893E0
1.584975000E0,-1.340099931E0,2.993799925E0,-1.096799970E0
1.604998437E0,-1.711499929E0,3.537199974E0,-1.104699969E0
1.635000000E0,-7.238000035E-1,2.414399862E0,1.068099976E0
1.665003125E0,-7.846999764E-1,3.397199869E0,-2.201999873E-1
1.695004687E0,-8.628000021E-1,4.304299831E0,-6.452999711E-1
1.724975000E0,-6.710999608E-1,3.071199894E0,-2.171999961E-1
1.744996875E0,3.709999844E-2,2.223299980E0,2.583000064E-1
1.775000000E0,-1.572399974E0,1.897599936E0,-9.659000039E-1
1.805001562E0,-2.883499861E0,2.075299978E0,-1.210399985E0
1.835003125E0,-3.998000026E-1,1.594499946E0,-1.330299973E0
1.865004687E0,4.506999850E-1,1.804299951E0,-4.368000031E-1
1.894976562E0,1.399999950E-2,2.157500029E0,-1.561199903E0
1.914998437E0,1.158999950E-1,3.108000040E0,-6.935999990E-1
1.945000000E0,7.039999962E-1,3.030499935E0,-1.239599943E0
1.975003125E0,6.529999524E-2,2.236999989E0,6.092000008E-1
2.005004687E0,-1.256099939E0,3.744299889E0,-1.580799937E0
2.034975000E0,-3.670599937E0,3.805399895E0,-1.260999918E0
2.054996875E0,-2.651199818E0,3.341899872E0,-6.000999808E-1
2.085000000E0,-1.493799925E0,2.574399948E0,-8.394999504E-1
2.115001562E0,-1.567999959E0,1.544699907E0,-1.195299983E0
2.145003125E0,-1.421700001E0,2.447099924E0,-6.506999731E-1
2.175006250E0,-2.256599903E0,3.420599937E0,-8.442999721E-1
2.204976562E0,-2.032299995E0,2.022899866E0,-1.685599923E0
2.224998437E0,-2.882999897E0,1.411399961E0,-1.940799952E0
2.255000000E0,-2.974499941E0,2.865999937E0,-1.506999969E0
2.285003125E0,-3.473699808E0,4.943799973E0,-3.036999941E0
2.315004687E0,-5.543000102E-1,4.431699753E0,-3.112999797E-1
2.344975000E0,-1.886999905E-1,4.584799767E0,-9.109999537E-1
