"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.750062500E-1,3.468750000E1,-4.875000000E0,-3.487500000E1
2.049765620E-1,3.531250000E1,-2.750000000E0,-3.493750000E1
2.249984370E-1,3.518750000E1,-1.500000000E0,-3.443750000E1
2.550000000E-1,3.487500000E1,3.750000000E-1,-3.412500000E1
2.850031250E-1,3.412500000E1,3.125000000E0,-3.525000000E1
3.150046870E-1,3.293750000E1,4.625000000E0,-3.643750000E1
3.449765620E-1,3.256250000E1,5.687500000E0,-3.631250000E1
3.649984370E-1,3.193750000E1,6.500000000E0,-3.593750000E1
3.950000000E-1,3.137500000E1,8.375000000E0,-3.568750000E1
4.250015620E-1,3.156250000E1,1.006250000E1,-3.662500000E1
4.550031250E-1,3.087500000E1,1.162500000E1,-3.662500000E1
4.850062500E-1,2.906250000E1,1.281250000E1,-3.637500000E1
5.149765620E-1,2.893750000E1,1.356250000E1,-3.675000000E1
5.350000000E-1,2.993750000E1,1.381250000E1,-3.756250000E1
5.650015620E-1,3.006250000E1,1.381250000E1,-3.787500000E1
5.950031250E-1,2.993750000E1,1.425000000E1,-3.650000000E1
6.250046870E-1,2.981250000E1,1.525000000E1,-3.662500000E1
6.549765620E-1,2.893750000E1,1.537500000E1,-3.612500000E1
6.749984370E-1,2.918750000E1,1.581250000E1,-3.518750000E1
7.050000000E-1,2.937500000E1,1.693750000E1,-3.550000000E1
7.350015620E-1,2.787500000E1,1.768750000E1,-3.556250000E1
7.650046870E-1,2.650000000E1,1.837500000E1,-3.581250000E1
7.950062500E-1,2.437500000E1,1.912500000E1,-3.643750000E1
8.250218750E-1,2.287500000E1,2.050000000E1,-3.737500000E1
8.549781250E-1,2.256250000E1,1.987500000E1,-3.725000000E1
8.750015620E-1,2.343750000E1,1.968750000E1,-3.625000000E1
9.050031250E-1,2.375000000E1,2.068750000E1,-3.537500000E1
9.350046870E-1,2.343750000E1,2.093750000E1,-3.662500000E1
9.649765620E-1,2.093750000E1,2.025000000E1,-3.818750000E1
9.849984370E-1,1.906250000E1,1.931250000E1,-3.881250000E1
1.015000000E0,1.656250000E1,1.900000000E1,-3.918750000E1
1.045001562E0,1.437500000E1,1.887500000E1,-3.937500000E1
1.075004687E0,1.306250000E1,1.812500000E1,-3.950000000E1
1.104975000E0,1.256250000E1,1.812500000E1,-4.018750000E1
1.124996875E0,1.231250000E1,1.800000000E1,-4.075000000E1
1.155000000E0,1.156250000E1,1.643750000E1,-4.112500000E1
1.185001562E0,9.437500000E0,1.556250000E1,-4.225000000E1
1.215003125E0,7.562500000E0,1.587500000E1,-4.156250000E1
1.245006250E0,6.375000000E0,1.568750000E1,-4.150000000E1
1.274976562E0,5.625000000E0,1.425000000E1,-4.275000000E1
1.294998437E0,5.062500000E0,1.331250000E1,-4.287500000E1
1.325001562E0,4.000000000E0,1.350000000E1,-4.268750000E1
1.355003125E0,2.625000000E0,1.337500000E1,-4.237500000E1
1.385004687E0,1.187500000E0,1.300000000E1,-4.337500000E1
1.414975000E0,-1.875000000E-1,1.193750000E1,-4.343750000E1
1.434996875E0,1.875000000E-1,1.075000000E1,-4.362500000E1
1.465000000E0,-1.875000000E-1,8.937500000E0,-4.406250000E1
1.495001562E0,-1.250000000E0,8.375000000E0,-4.393750000E1
1.525003125E0,-2.375000000E0,7.312500000E0,-4.443750000E1
1.555004687E0,-4.000000000E0,6.125000000E0,-4.406250000E1
1.584975000E0,-4.875000000E0,4.125000000E0,-4.437500000E1
1.604998437E0,-6.000000000E0,2.875000000E0,-4.431250000E1
