"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-5.267243981E-1,-8.906430602E-1,9.835380554E0
2.499531300E-2,-5.363011956E-1,-9.385270476E-1,9.720458984E0
4.999062500E-2,-4.692635238E-1,-8.523358107E-1,9.787496567E0
7.001406300E-2,-2.681505978E-1,-8.044517636E-1,9.768342972E0
9.501093800E-2,-1.723825186E-1,-9.097966552E-1,9.835380554E0
1.200078130E-1,-1.532289088E-1,-9.002198577E-1,1.025675964E1
1.450046880E-1,6.703764945E-2,-7.086837292E-1,9.979032516E0
1.700000000E-1,8.619125932E-2,-8.810662031E-1,9.691728592E0
1.949953130E-1,-4.788403213E-2,-1.101332784E0,9.730035782E0
2.199937500E-1,-2.873042040E-2,-1.043871999E0,9.787496567E0
2.400140630E-1,-2.011129409E-1,-1.110909581E0,9.672574997E0
2.650125000E-1,-3.830722570E-1,-1.120486379E0,9.758766174E0
2.900093750E-1,-4.692635238E-1,-9.289502501E-1,1.005564690E1
3.150046880E-1,-5.458779931E-1,-7.182605267E-1,9.730035782E0
3.400015630E-1,-1.254561663E0,-4.405331016E-1,9.366117477E0
3.649968750E-1,-1.570596337E0,-4.884171486E-1,9.241618156E0
3.899937500E-1,-1.963245392E0,-6.129156351E-1,9.203310966E0
4.149937500E-1,-2.279279947E0,-7.852981687E-1,9.212887764E0
4.350187500E-1,-2.106897593E0,-9.002198577E-1,9.528923035E0
4.600093750E-1,-1.455674648E0,-9.576807022E-1,9.749189377E0
4.850062500E-1,-1.063025594E0,-1.072602391E0,9.576807022E0
5.100031250E-1,-8.140285611E-1,-1.082179189E0,9.911994934E0
5.350015630E-1,-4.884171486E-1,-1.072602391E0,9.749189377E0
5.599953130E-1,-2.873041928E-1,-6.607996821E-1,9.816226959E0
5.849921880E-1,1.436520964E-1,-4.501099288E-1,9.931148529E0
6.050140630E-1,1.340752989E-1,-5.650315881E-1,9.921571732E0
6.300093750E-1,3.830722719E-2,-9.002198577E-1,9.940725327E0
6.550078130E-1,-9.576806426E-2,-9.768342972E-1,9.873687744E0
6.800031250E-1,-3.064578176E-1,-7.852981687E-1,9.777919769E0
7.050000000E-1,-4.884171486E-1,-7.469909191E-1,9.787496567E0
7.299953130E-1,-6.033388376E-1,-9.385270476E-1,9.720458984E0
7.549937500E-1,-6.129156351E-1,-1.063025594E0,9.691728592E0
7.750156250E-1,-6.512228847E-1,-1.072602391E0,9.701305389E0
8.000109380E-1,-7.278373241E-1,-9.864110947E-1,9.672574997E0
8.250078130E-1,-8.044517636E-1,-8.044517636E-1,9.682151794E0
8.500046880E-1,-7.278373241E-1,-8.140285611E-1,9.787496567E0
8.750015630E-1,-7.182605267E-1,-8.523358107E-1,9.787496567E0
8.999968750E-1,-7.565677166E-1,-7.852981687E-1,9.768342972E0
9.249937500E-1,-6.607996821E-1,-7.278373241E-1,9.787496567E0
9.499906250E-1,-5.746083856E-1,-7.852981687E-1,9.797073364E0
9.700125000E-1,-4.884171486E-1,-9.097966552E-1,9.864110947E0
9.950093750E-1,-4.213795066E-1,-9.959878922E-1,9.902418137E0
1.020004688E0,-3.543418646E-1,-9.576807022E-1,9.825803757E0
1.045003125E0,-2.681505978E-1,-9.481038451E-1,9.777919769E0
1.069998438E0,-2.202665508E-1,-9.385270476E-1,9.758766174E0
1.095009375E0,-2.681505978E-1,-9.002198577E-1,9.825803757E0
1.115010938E0,-3.160346150E-1,-8.906430602E-1,9.873687744E0
1.135051563E0,-3.926490843E-1,-8.044517636E-1,9.825803757E0
1.160004688E0,-4.692635238E-1,-7.757213712E-1,9.787496567E0
1.185001563E0,-5.458779931E-1,-8.140285611E-1,9.758766174E0
1.209996875E0,-6.416460276E-1,-8.619126081E-1,9.758766174E0
1.234993750E0,-6.607996821E-1,-9.097966552E-1,9.758766174E0
1.259990625E0,-6.416460276E-1,-9.576807022E-1,9.749189377E0
1.280012500E0,-5.937620401E-1,-9.481038451E-1,9.768342972E0
1.305009375E0,-5.841852427E-1,-9.672574997E-1,9.758766174E0
1.330006250E0,-5.171475410E-1,-9.385270476E-1,9.749189377E0
1.355025000E0,-4.596867263E-1,-8.714894056E-1,9.768342972E0
1.379998438E0,-4.022258818E-1,-8.140285611E-1,9.787496567E0
1.404995313E0,-4.118026793E-1,-8.331822157E-1,9.806650162E0
1.429992188E0,-3.830722570E-1,-8.427590132E-1,9.854534149E0
1.450014063E0,-3.830722570E-1,-7.757213712E-1,9.816226959E0
1.475010938E0,-4.022258818E-1,-8.236053586E-1,9.844957352E0
1.500006250E0,-4.022258818E-1,-9.097966552E-1,9.825803757E0
1.525004688E0,-4.501099288E-1,-9.576807022E-1,9.825803757E0
1.550000000E0,-4.501099288E-1,-9.672574997E-1,9.806650162E0
1.575009375E0,-4.884171486E-1,-9.097966552E-1,9.768342972E0
1.599992188E0,-5.554547906E-1,-8.619126081E-1,9.768342972E0
1.620015625E0,-5.458779931E-1,-8.523358107E-1,9.777919769E0
1.645012500E0,-5.458779931E-1,-8.714894056E-1,9.739612579E0
1.670007813E0,-5.171475410E-1,-8.810662031E-1,9.768342972E0
1.695039063E0,-5.075707436E-1,-8.331822157E-1,9.797073364E0
1.720000000E0,-4.501099288E-1,-8.140285611E-1,9.787496567E0
1.744998438E0,-4.501099288E-1,-8.331822157E-1,9.787496567E0
1.769993750E0,-4.309563041E-1,-8.906430602E-1,9.816226959E0
1.794990625E0,-4.309563041E-1,-9.097966552E-1,9.777919769E0
1.815015625E0,-4.213795066E-1,-9.289502501E-1,9.835380554E0
1.840009375E0,-4.309563041E-1,-8.906430602E-1,9.806650162E0
1.865004688E0,-4.405331016E-1,-9.002198577E-1,9.806650162E0
1.890001563E0,-4.405331016E-1,-8.810662031E-1,9.777919769E0
1.914998438E0,-4.979939461E-1,-8.810662031E-1,9.797073364E0
1.939995313E0,-4.788403511E-1,-8.714894056E-1,9.787496567E0
1.964992188E0,-4.692635238E-1,-8.523358107E-1,9.816226959E0
1.985014063E0,-4.501099288E-1,-8.714894056E-1,9.787496567E0
2.010009375E0,-4.596867263E-1,-8.906430602E-1,9.797073364E0
2.035006250E0,-4.501099288E-1,-8.906430602E-1,9.806650162E0
