"Time (s)","Illuminance (lx)"
1.001093800E-2,0.000000000E0
1.299859380E-1,0.000000000E0
2.499953130E-1,0.000000000E0
3.700031250E-1,0.000000000E0
4.900109380E-1,0.000000000E0
6.099890630E-1,0.000000000E0
7.299953130E-1,0.000000000E0
8.500046880E-1,0.000000000E0
9.700125000E-1,0.000000000E0
1.089989063E0,0.000000000E0
1.209996875E0,0.000000000E0
1.330006250E0,0.000000000E0
1.450014063E0,0.000000000E0
1.569990625E0,0.000000000E0
1.689998438E0,0.000000000E0
1.810006250E0,0.000000000E0
1.930015625E0,0.000000000E0
2.049992188E0,0.000000000E0
2.170000000E0,0.000000000E0
2.290007813E0,0.000000000E0
2.409984375E0,0.000000000E0
2.529993750E0,0.000000000E0
2.650001563E0,0.000000000E0
2.770009375E0,0.000000000E0
2.889985938E0,0.000000000E0
3.009993750E0,0.000000000E0
3.130003125E0,0.000000000E0
3.250010938E0,0.000000000E0
3.369987500E0,0.000000000E0
3.489995313E0,0.000000000E0
3.610003125E0,0.000000000E0
3.730010938E0,0.000000000E0
3.849989063E0,0.000000000E0
3.969996875E0,0.000000000E0
4.090004688E0,0.000000000E0
4.210012500E0,0.000000000E0
4.329989063E0,0.000000000E0
4.449998438E0,0.000000000E0
4.570006250E0,0.000000000E0
4.690014063E0,0.000000000E0
4.809990625E0,0.000000000E0
4.929998438E0,0.000000000E0
5.050006250E0,0.000000000E0
5.170015625E0,0.000000000E0
5.289990625E0,0.000000000E0
5.410000000E0,0.000000000E0
5.530007813E0,0.000000000E0
5.649984375E0,0.000000000E0
5.769992188E0,0.000000000E0
5.890001563E0,0.000000000E0
6.010009375E0,0.000000000E0
6.129985938E0,0.000000000E0
6.249993750E0,0.000000000E0
6.370003125E0,0.000000000E0
6.490010938E0,0.000000000E0
6.609987500E0,0.000000000E0
6.729995313E0,0.000000000E0
6.850003125E0,0.000000000E0
6.970010938E0,0.000000000E0
7.089987500E0,0.000000000E0
7.209996875E0,0.000000000E0
7.330004688E0,0.000000000E0
7.450012500E0,0.000000000E0
7.569989063E0,0.000000000E0
7.689996875E0,0.000000000E0
7.810006250E0,0.000000000E0
7.930014063E0,0.000000000E0
8.049990625E0,0.000000000E0
8.169998438E0,0.000000000E0
8.290006250E0,0.000000000E0
8.410015625E0,0.000000000E0
8.529992188E0,0.000000000E0
8.650000000E0,0.000000000E0
8.770007813E0,0.000000000E0
8.889984375E0,0.000000000E0
9.009993750E0,0.000000000E0
9.130001563E0,0.000000000E0
9.250009375E0,0.000000000E0
9.369985938E0,0.000000000E0
9.489993750E0,0.000000000E0
9.610003125E0,0.000000000E0
9.730010938E0,0.000000000E0
9.849987500E0,0.000000000E0
9.969995313E0,0.000000000E0
1.009000312E1,0.000000000E0
1.021001250E1,0.000000000E0
1.032998906E1,0.000000000E0
1.044999688E1,0.000000000E0
1.057000469E1,0.000000000E0
1.069001250E1,0.000000000E0
1.080999063E1,0.000000000E0
1.092999844E1,0.000000000E0
1.105000625E1,0.000000000E0
1.117001406E1,0.000000000E0
1.128999063E1,0.000000000E0
1.140999844E1,0.000000000E0
1.153000781E1,0.000000000E0
1.165001562E1,0.000000000E0
1.176999219E1,0.000000000E0
1.189000000E1,0.000000000E0
1.201000781E1,0.000000000E0
1.212998438E1,0.000000000E0
1.224999375E1,0.000000000E0
1.237000156E1,0.000000000E0
1.249000938E1,0.000000000E0
1.260998750E1,0.000000000E0
1.272999375E1,0.000000000E0
1.285000312E1,0.000000000E0
1.297000938E1,0.000000000E0
1.308998750E1,0.000000000E0
1.320999531E1,0.000000000E0
1.333000469E1,0.000000000E0
1.345001250E1,0.000000000E0
1.356998906E1,0.000000000E0
1.368999688E1,0.000000000E0
1.381000469E1,0.000000000E0
1.393001250E1,0.000000000E0
1.404999063E1,0.000000000E0
1.416999688E1,0.000000000E0
1.429000625E1,0.000000000E0
1.441001406E1,0.000000000E0
1.452999063E1,0.000000000E0
1.464999844E1,0.000000000E0
1.477000781E1,0.000000000E0
1.489001562E1,0.000000000E0
1.500999219E1,0.000000000E0
1.513000000E1,0.000000000E0
1.525000938E1,0.000000000E0
1.536998594E1,0.000000000E0
1.548999375E1,0.000000000E0
1.561000156E1,0.000000000E0
1.573000938E1,0.000000000E0
1.584998594E1,0.000000000E0
1.596999375E1,0.000000000E0
1.609000313E1,0.000000000E0
1.621001094E1,0.000000000E0
1.632998750E1,0.000000000E0
1.644999531E1,0.000000000E0
1.657000469E1,0.000000000E0
1.669001250E1,0.000000000E0
1.680998906E1,0.000000000E0
1.692999688E1,0.000000000E0
1.705000469E1,0.000000000E0
1.717001406E1,0.000000000E0
1.728999062E1,0.000000000E0
1.740999844E1,0.000000000E0
1.753000625E1,0.000000000E0
1.765001406E1,0.000000000E0
1.776999063E1,0.000000000E0
1.788999844E1,0.000000000E0
1.801000781E1,0.000000000E0
1.813001563E1,0.000000000E0
1.824999219E1,0.000000000E0
1.837000000E1,0.000000000E0
1.849000938E1,0.000000000E0
1.860998594E1,0.000000000E0
1.872999375E1,0.000000000E0
1.885000156E1,0.000000000E0
1.897000938E1,0.000000000E0
1.908998594E1,0.000000000E0
1.920999531E1,0.000000000E0
1.933000312E1,0.000000000E0
1.945001094E1,0.000000000E0
1.956998750E1,0.000000000E0
1.968999531E1,0.000000000E0
1.981000312E1,0.000000000E0
1.993001250E1,0.000000000E0
2.004998906E1,0.000000000E0
2.016999688E1,0.000000000E0
2.029000469E1,0.000000000E0
2.041001250E1,0.000000000E0
2.052999062E1,0.000000000E0
2.064999844E1,0.000000000E0
2.077000469E1,0.000000000E0
2.089001406E1,0.000000000E0
2.100999062E1,0.000000000E0
2.112999844E1,0.000000000E0
2.125000625E1,0.000000000E0
2.137001562E1,0.000000000E0
2.148999219E1,0.000000000E0
2.161000000E1,0.000000000E0
2.173000938E1,0.000000000E0
2.184998594E1,0.000000000E0
2.196999375E1,0.000000000E0
2.209000156E1,0.000000000E0
2.221000938E1,0.000000000E0
2.232998594E1,0.000000000E0
2.244999375E1,0.000000000E0
2.257000313E1,0.000000000E0
2.269000938E1,0.000000000E0
2.280998750E1,0.000000000E0
2.292999531E1,0.000000000E0
2.305000469E1,0.000000000E0
2.317001250E1,0.000000000E0
2.328998906E1,0.000000000E0
2.340999688E1,0.000000000E0
2.353000469E1,0.000000000E0
2.365001406E1,0.000000000E0
2.376999063E1,0.000000000E0
2.388999844E1,0.000000000E0
2.401000625E1,0.000000000E0
2.413001406E1,0.000000000E0
2.424999063E1,0.000000000E0
2.437000000E1,0.000000000E0
2.449000781E1,0.000000000E0
2.461001563E1,0.000000000E0
2.472999219E1,0.000000000E0
2.485000000E1,0.000000000E0
2.497000938E1,0.000000000E0
2.508998594E1,0.000000000E0
2.520999375E1,0.000000000E0
2.533000156E1,0.000000000E0
2.545000938E1,0.000000000E0
2.556998750E1,0.000000000E0
2.568999375E1,0.000000000E0
2.581000312E1,0.000000000E0
2.593001094E1,0.000000000E0
2.604998750E1,0.000000000E0
2.616999531E1,0.000000000E0
2.629000469E1,0.000000000E0
2.641001250E1,0.000000000E0
2.652998906E1,0.000000000E0
2.664999688E1,0.000000000E0
2.677000469E1,0.000000000E0
2.689001406E1,0.000000000E0
2.700999062E1,0.000000000E0
2.712999844E1,0.000000000E0
2.725000625E1,0.000000000E0
2.737001406E1,0.000000000E0
2.748999062E1,0.000000000E0
2.761000000E1,0.000000000E0
2.773000781E1,0.000000000E0
2.784998438E1,0.000000000E0
2.796999219E1,0.000000000E0
2.809000000E1,0.000000000E0
2.821000938E1,0.000000000E0
2.832998594E1,0.000000000E0
2.844999375E1,0.000000000E0
2.857000156E1,0.000000000E0
2.869001094E1,0.000000000E0
2.880998750E1,0.000000000E0
2.892999531E1,0.000000000E0
2.905000313E1,0.000000000E0
2.917001094E1,0.000000000E0
2.928998750E1,0.000000000E0
2.940999531E1,0.000000000E0
2.953000469E1,0.000000000E0
2.965001250E1,0.000000000E0
2.976998906E1,0.000000000E0
2.988999688E1,0.000000000E0
3.001000469E1,0.000000000E0
3.013001406E1,0.000000000E0
3.024999063E1,0.000000000E0
3.036999844E1,0.000000000E0
3.049000625E1,0.000000000E0
3.061001406E1,0.000000000E0
3.072999063E1,0.000000000E0
3.085000000E1,0.000000000E0
3.097000781E1,0.000000000E0
