"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.498437500E-2,-2.429999970E-2,-1.213999987E-1,-1.912999898E-1
3.500625000E-2,2.719999850E-2,-1.292999983E-1,-2.188999951E-1
6.500937500E-2,1.659999937E-1,7.999999449E-3,-1.604000032E-1
9.501093800E-2,2.755999863E-1,-7.959999889E-2,-1.233999953E-1
1.250234380E-1,3.168999851E-1,8.999999845E-4,3.269999921E-1
1.550156250E-1,4.682999849E-1,8.190000057E-2,-9.849999845E-2
1.849859380E-1,3.516999781E-1,-2.101999968E-1,-2.651999891E-1
2.050078130E-1,2.310999930E-1,-1.925999969E-1,-1.951999962E-1
2.350093750E-1,2.282999903E-1,-2.137999982E-1,-2.516999841E-1
2.650125000E-1,8.219999820E-2,-2.818000019E-1,-1.898999959E-1
2.950140630E-1,6.549999863E-2,-8.549999446E-2,8.739999682E-2
3.249843750E-1,-1.437000036E-1,1.863999963E-1,-3.711999953E-1
3.500125000E-1,-5.580999851E-1,3.484999835E-1,-5.612999797E-1
3.800140630E-1,-8.849999905E-1,1.692999899E-1,-6.954999566E-1
4.099843750E-1,-1.225000024E0,-3.260000050E-2,-7.549999952E-1
4.300078130E-1,-1.108299971E0,-1.180000007E-1,-4.526999891E-1
4.600093750E-1,-3.522000015E-1,2.053999901E-1,-1.173999980E-1
4.900109380E-1,1.559999958E-2,6.732999682E-1,-1.466999948E-1
5.200140630E-1,2.578999996E-1,9.000999928E-1,1.999999881E-1
5.500156250E-1,4.546999931E-1,1.592299938E0,8.869999647E-2
5.799859380E-1,8.069999814E-1,2.028300047E0,3.008999825E-1
6.000078130E-1,8.382999897E-1,2.096899986E0,2.708999813E-1
6.300093750E-1,6.448999643E-1,2.016000032E0,3.930999935E-1
6.600125000E-1,4.296000004E-1,1.998499990E0,3.213000000E-1
6.900140630E-1,1.763999909E-1,2.411000013E0,3.209999800E-1
7.199859380E-1,-1.169999968E-2,2.291399956E0,2.685999870E-1
7.400078130E-1,-4.010000080E-2,2.211699963E0,2.427999973E-1
7.700093750E-1,-7.299999893E-2,2.309099913E0,3.310000002E-1
8.000109380E-1,-1.541000009E-1,2.392899990E0,2.798999846E-1
8.300125000E-1,-2.173999995E-1,2.731299877E0,3.343999982E-1
8.600156250E-1,-1.421999931E-1,2.617199898E0,4.387999773E-1
8.899859380E-1,-1.679999977E-1,2.747099876E0,4.465999901E-1
9.100093750E-1,-1.939999908E-1,2.823599815E0,4.621999860E-1
9.400109380E-1,-5.929999799E-2,2.744699955E0,4.646999836E-1
9.700125000E-1,2.139999904E-2,2.729699850E0,5.590999722E-1
1.000014063E0,7.039999962E-2,2.589999914E0,5.576999784E-1
1.029985938E0,1.614999920E-1,2.746099949E0,5.414000154E-1
1.050007813E0,1.990000010E-1,2.785799980E0,5.095999837E-1
1.080009375E0,1.854999959E-1,2.749799967E0,5.083999634E-1
1.110010938E0,1.266999990E-1,2.886699915E0,6.098999977E-1
1.140012500E0,2.559999935E-2,2.869099855E0,5.264999866E-1
1.170015625E0,-5.759999901E-2,3.006199837E0,5.464999676E-1
1.199985938E0,-1.526999921E-1,2.847499847E0,4.720000029E-1
1.220009375E0,-1.723999977E-1,2.819399834E0,5.123000145E-1
1.250010938E0,-1.433999985E-1,2.857800007E0,5.083000064E-1
1.280012500E0,-1.083999947E-1,2.760099888E0,4.971999824E-1
1.310014063E0,-7.710000128E-2,2.863299847E0,5.489999652E-1
1.339985938E0,2.899999917E-2,2.848999977E0,4.817999899E-1
1.360007813E0,3.659999743E-2,2.862900019E0,5.029000044E-1
1.390009375E0,6.039999798E-2,2.983999968E0,5.647999644E-1
1.420012500E0,5.529999733E-2,2.866999865E0,5.349000096E-1
1.450014063E0,6.870000064E-2,3.008800030E0,5.680999756E-1
1.479984375E0,3.819999844E-2,2.856499910E0,5.597999692E-1
1.500006250E0,4.869999737E-2,2.788699865E0,5.404999852E-1
1.530007813E0,7.699999958E-3,2.819200039E0,5.672000051E-1
1.560010938E0,1.539999992E-2,2.722699881E0,5.941999555E-1
1.590012500E0,-5.269999802E-2,2.861500025E0,6.407999992E-1
1.620015625E0,-4.669999704E-2,2.804299831E0,6.261999607E-1
1.649985938E0,-2.620000020E-2,2.881199837E0,6.128000021E-1
1.670007813E0,-4.299999680E-3,2.857800007E0,6.505999565E-1
1.700009375E0,3.900000080E-2,2.814399958E0,6.527999640E-1
1.730012500E0,6.899999827E-2,2.903100014E0,6.943999529E-1
1.760014063E0,7.729999721E-2,2.746599913E0,6.452999711E-1
1.789984375E0,1.129999980E-1,2.788699865E0,6.585999727E-1
1.810006250E0,1.057999954E-1,2.797499895E0,6.680999994E-1
1.840009375E0,9.659999609E-2,2.718999863E0,6.387999654E-1
1.870010938E0,9.719999880E-2,2.793900013E0,6.535999775E-1
1.900012500E0,9.479999542E-2,2.736199856E0,6.193000078E-1
1.930015625E0,8.649999648E-2,2.813999891E0,6.509000063E-1
1.959985938E0,7.349999994E-2,2.731199980E0,5.949000120E-1
1.980007813E0,1.124999970E-1,2.734400034E0,6.164000034E-1
2.010009375E0,1.317999959E-1,2.800699949E0,6.653999686E-1
2.040012500E0,1.667999923E-1,2.727299929E0,6.424999833E-1
2.070014063E0,1.410000026E-1,2.832099915E0,6.424999833E-1
2.099984375E0,1.464999914E-1,2.718899965E0,5.958999991E-1
2.120006250E0,1.436000019E-1,2.685400009E0,6.241999865E-1
2.150009375E0,1.655000001E-1,2.786000013E0,6.772999763E-1
2.180010938E0,2.190999985E-1,2.702199936E0,6.406999826E-1
