"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,4.884171486E-1,1.030464458E1,2.078166962E0
2.001875000E-2,-1.340752989E-1,1.173158836E1,1.608903527E0
4.498958300E-2,-3.916913986E0,1.309149456E1,2.920926094E0
6.519791600E-2,3.811569214E0,1.187524033E1,9.002198577E-1
9.003541600E-2,1.963245392E0,1.154962921E1,-5.353435040E0
1.150052080E-1,-7.948749661E-1,4.769249916E0,4.999093056E0
1.351270830E-1,-2.806004286E0,5.305551052E0,3.600879431E0
1.601994790E-1,-4.299986362E0,8.619126320E0,2.279279947E0
1.853338540E-1,-1.455674648E0,1.177947235E1,1.838746905E0
2.101671870E-1,-3.543418407E0,1.314895535E1,-1.254561663E0
2.302541660E-1,-2.173935175E0,9.730035782E0,3.007117271E0
2.552203120E-1,-8.810662031E-1,5.851428986E0,3.533841610E0
2.801843740E-1,-3.236960649E0,6.607996464E0,3.744531393E0
3.002083330E-1,2.930502892E0,1.952710915E1,3.677493811E0
3.251984370E-1,-3.064578176E-1,1.105163479E1,1.072602391E0
3.452661450E-1,3.696647406E0,1.149216843E1,1.398213744E0
3.652770830E-1,-5.171475410E-1,9.902418137E0,1.369483352E0
3.903557290E-1,-4.338293552E0,8.820239067E0,1.177947283E0
4.152682290E-1,-6.320692301E-1,9.844957352E0,2.489969730E0
4.445114580E-1,-2.528276920E0,1.153047562E1,9.576806426E-2
4.652291660E-1,-1.359906554E0,7.153874874E0,2.873041928E-1
4.903713540E-1,1.541865945E0,5.918466568E0,1.541865945E0
5.103999990E-1,-8.427590132E-1,6.876147270E0,2.240972757E0
5.355552080E-1,-1.637633920E0,1.094629002E1,2.786850691E0
5.603645830E-1,-1.302445769E0,1.243069553E1,2.470816135E0
5.803968740E-1,-7.278373241E-1,9.203310966E0,2.576161146E0
6.051651040E-1,5.746084079E-2,6.837840080E0,3.208230257E0
6.251880200E-1,3.926490843E-1,8.475474358E0,1.829170108E0
6.504130200E-1,-1.905784607E0,9.337387085E0,8.044517636E-1
6.704322910E-1,-3.801992416E0,1.448013210E1,-6.607996821E-1
6.951890620E-1,-4.721365929E0,1.441309452E1,0.000000000E0
7.152802080E-1,-3.208230257E0,9.682151794E0,2.202665567E0
7.355447910E-1,-2.231395960E0,6.914454460E0,2.624045134E0
7.603713540E-1,2.968810081E0,1.455674648E0,2.173935175E0
7.852473950E-1,-5.171475410E-1,9.107542992E0,-1.436520964E-1
8.103614580E-1,-1.168370485E0,1.126232433E1,-6.224924326E-1
8.354770830E-1,-1.063025594E0,8.140285492E0,-1.187524080E0
8.603859370E-1,-1.675941229E0,1.011310768E1,2.777273953E-1
8.852239580E-1,-1.675941229E0,1.026633644E1,2.614468336E0
9.052588540E-1,-2.834734917E0,1.105163479E1,2.566584110E0
9.304010410E-1,-2.451662540E0,1.045787334E1,3.055001259E0
9.562052080E-1,-6.320692301E-1,1.662533569E1,1.273715258E0
9.803661450E-1,-6.703764945E-2,1.499727917E1,6.224924326E-1
1.000401041E0,2.585737705E-1,1.320641613E1,1.264138460E0
1.025261979E0,-5.171475410E-1,9.528923035E0,-1.082179189E0
1.050366666E0,8.619126081E-1,2.087743998E0,3.256114423E-1
1.070397395E0,-1.216254473E0,1.991975784E0,3.074155092E0
1.095210416E0,-1.838746905E0,9.490615845E0,5.592854977E0
1.115259374E0,-3.610456228E0,1.099417400E1,3.773261786E0
1.135858854E0,-2.691082716E0,1.204762268E1,-3.447650373E-1
1.160378645E0,-1.474828243E0,1.415452003E1,-1.331176162E0
1.185225520E0,7.948749661E-1,1.117613316E1,9.768342972E-1
1.210401562E0,-4.309563041E-1,1.108994198E1,2.710236311E0
1.235516666E0,-1.340752959E0,1.223915863E1,3.169923067E0
1.260359895E0,-2.049436569E0,1.343626022E1,3.524264812E0
1.280374479E0,-1.321599364E0,1.289995861E1,2.671929121E0
1.300397916E0,-1.790862918E0,9.768342972E0,2.662352324E0
1.325225520E0,7.661445141E-1,8.542511940E0,2.106897593E0
1.345318228E0,-5.171475410E-1,7.527369976E0,2.585737944E0
1.370357291E0,-1.666364431E0,4.903325081E0,3.150769472E0
1.390381249E0,-1.838746905E0,5.544970989E0,2.489969730E0
1.415249478E0,-1.666364431E0,8.197746277E0,2.604891539E0
1.446506249E0,-1.695094824E0,8.944737434E0,3.332728863E0
1.470392708E0,-1.197100878E0,8.188169479E0,4.156333923E0
1.490414583E0,-2.432508945E0,7.747636795E0,4.338293552E0
1.515272395E0,-2.614468336E0,8.647856712E0,4.539406300E0
1.535515103E0,-1.752555609E0,9.088389397E0,5.851428986E0
1.560456249E0,-4.309563041E-1,8.456320763E0,2.662352324E0
1.585189062E0,-3.514688015E0,9.165003777E0,5.544970989E0
1.605233333E0,-1.082179189E0,6.426037312E0,7.345410824E0
1.625279166E0,-7.852981687E-1,7.067683220E0,6.569689274E0
1.650349999E0,-6.607996821E-1,8.552088737E0,5.851428986E0
1.670404687E0,-2.154781580E0,1.210508347E1,5.372588634E0
1.690613541E0,-2.758120298E0,1.255519390E1,4.539406300E0
1.715276562E0,-2.987963676E0,1.104205799E1,4.299986362E0
1.735520833E0,-1.570596337E0,6.435614109E0,7.029376030E0
1.760358333E0,1.082179189E0,4.826710701E0,7.096413612E0
1.780371874E0,-9.097966552E-1,8.034940720E0,3.955221176E0
1.805219270E0,-2.834734917E0,9.394847870E0,-1.340752989E-1
1.830365624E0,-4.797980309E0,9.394847870E0,-1.034295082E0
1.855212499E0,-4.491522312E0,9.758766174E0,5.477933407E0
1.880368228E0,-2.997540474E0,9.366117477E0,5.564124584E0
1.905202083E0,-1.417367458E0,8.379706383E0,3.620033026E0
1.930367708E0,7.852981687E-1,6.426037312E0,2.576161146E0
1.950419270E0,1.493981838E0,7.948749542E0,2.183511972E0
1.975216666E0,7.278373241E-1,9.806650162E0,2.317587137E0
1.995224478E0,-1.149216816E-1,9.998186111E0,2.940079689E0
2.015262499E0,-6.416460276E-1,9.241618156E0,3.026270866E0
2.035754687E0,-1.177947283E0,9.050082207E0,2.442085743E0
2.060582812E0,-7.757213712E-1,9.567230225E0,2.489969730E-1
2.085223958E0,3.447650373E-1,1.054406452E1,-9.481038451E-1
2.105267708E0,4.501099288E-1,1.128147888E1,-3.256114423E-1
2.130394270E0,-1.972822189E0,1.110909557E1,1.206677675E0
2.155193228E0,-1.264138460E0,1.074517727E1,1.359906554E0
2.175204166E0,-9.289502501E-1,1.104205799E1,1.953668594E0
2.195286458E0,-9.576806426E-2,1.199973869E1,2.116474390E0
2.220580728E0,3.447650373E-1,1.275630665E1,2.145204782E0
2.245211978E0,6.224924326E-1,1.219127464E1,2.863465309E0
2.265258333E0,1.283292055E0,1.119528675E1,2.806004286E0
2.290379687E0,-4.118026793E-1,1.024718285E1,2.767697096E0
2.310435937E0,-1.091755986E0,8.293514252E0,3.179499865E0
2.336123958E0,-1.446097851E0,5.889736176E0,1.101332784E0
2.360566145E0,-1.714248419E0,5.832275391E0,8.619125932E-2
2.385206770E0,6.416460276E-1,1.119528675E1,4.587290287E0
2.410384374E0,-3.064578176E-1,1.619437981E1,1.321599364E0
2.430557812E0,-2.317587137E0,1.768836212E1,9.289502501E-1
2.454469791E0,-4.232948780E0,1.772666931E1,5.449203014E0
2.475204166E0,-2.738966703E0,1.556231117E1,5.267243862E0
2.495215624E0,6.895300746E-1,1.288080502E1,4.395754337E0
2.515259374E0,3.007117271E0,1.119528675E1,4.319139957E0
2.535503645E0,4.376600742E0,1.005564690E1,2.097320795E0
2.560398437E0,2.719813108E0,8.389283180E0,9.576807022E-1
2.580408332E0,2.394201756E-1,5.726930618E0,3.045424461E0
2.605191145E0,-3.102885485E0,3.926490784E0,4.060565948E0
2.625213541E0,-3.342305660E0,3.466804028E0,4.778826714E0
2.650376562E0,-3.754108191E0,1.312022567E0,4.616020679E0
2.675207812E0,-1.359906554E0,9.864110947E-1,8.714894056E-1
2.700365624E0,-2.202665508E-1,5.401319027E0,8.331822157E-1
2.720372395E0,-7.757213712E-1,6.694188118E0,3.102885485E0
2.745259895E0,-1.532289028E0,1.330218506E1,7.881711960E0
2.765280207E0,-2.346317768E0,1.136767006E1,-5.995080948E0
2.790386978E0,-3.179499865E0,6.895300865E0,-3.294421434E0
2.810566145E0,2.154781580E0,1.114740276E1,2.662352324E0
2.835459374E0,-3.734954596E-1,8.504204750E0,-5.822698593E0
2.860348437E0,-4.654327869E0,2.303222084E1,1.857900500E0
2.880392187E0,-2.719813108E0,2.177765846E1,6.579266071E0
2.900399999E0,1.771709204E0,1.180820274E1,9.126696587E0
2.920411457E0,2.030282974E0,9.088389397E0,5.276820660E0
2.947934374E0,2.863465309E0,1.164539719E1,-1.149216771E0
2.970666145E0,1.886630893E0,1.588792229E1,-2.671929121E0
2.995219270E0,-1.608903527E0,1.088882923E1,3.801992416E0
3.015286978E0,3.466804028E0,1.244984865E-1,8.561665535E0
