"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.620135410E-1,-1.270599663E-1,6.597344577E-2,2.565634064E-2
1.857854160E-1,-1.270599663E-1,6.597344577E-2,2.565634064E-2
2.117781240E-1,-6.719517708E-2,-7.672467232E-1,-6.768386960E-1
2.326744790E-1,-3.811798990E-1,-3.286454976E-1,-9.651670605E-2
2.555666660E-1,4.398229718E-1,-3.677408695E-1,9.529497474E-2
2.817630200E-1,6.621779203E-1,7.867944241E-1,7.489207983E-1
3.019192700E-1,9.004153609E-1,5.363397002E-1,5.803219676E-1
3.255463540E-1,3.176499158E-2,-1.062905490E-1,-1.087340117E-1
3.457427080E-1,3.066543341E-1,1.589471340E0,-1.319468915E-1
3.657906240E-1,1.185078546E-1,4.153883457E-1,-4.263839424E-1
3.921302080E-1,3.872885704E-1,2.133141518E0,3.139847219E-1
4.157536450E-1,3.139847219E-1,2.537534237E0,1.204626203E0
4.438921870E-1,-5.155702829E-1,1.161865711E0,1.235169530E0
4.657151040E-1,-5.717698336E-1,9.150761366E-1,6.707300544E-1
4.940406240E-1,-3.347541392E-1,5.546656251E-1,6.829473376E-1
5.147989580E-1,9.040805697E-2,-8.185594529E-2,6.695082784E-1
5.349208330E-1,3.139847219E-1,2.846632004E-1,5.998696685E-1
5.555270830E-1,-8.552113175E-2,3.689626157E-1,4.703662395E-1
5.840536450E-1,-1.380555481E-1,-6.352998316E-2,6.475171447E-2
6.055151040E-1,3.506366313E-1,-3.115412593E-1,-4.569272101E-1
6.255385410E-1,7.977899909E-1,-4.373795092E-1,-9.590584040E-1
6.542776040E-1,8.759807348E-1,-7.916813493E-1,-1.479515553E0
6.755348950E-1,7.428121567E-1,-2.076941729E-1,-9.566149712E-1
6.955374990E-1,9.407324344E-2,-4.276056588E-1,4.276056588E-2
7.157203120E-1,-5.155702829E-1,-1.065348983E0,3.164281845E-1
7.358979160E-1,-2.663372457E-1,-7.293730974E-1,1.771509200E-1
7.638494790E-1,2.834414840E-1,-4.105014503E-1,-3.787364438E-2
7.838588540E-1,6.462954283E-1,-3.310889602E-1,1.160643920E-1
8.039239580E-1,7.880161405E-1,-1.710422710E-2,4.386012256E-1
8.255130200E-1,2.125810981E-1,5.583308339E-1,2.895501256E-1
8.455307290E-1,-6.218608022E-1,9.101892114E-1,-3.066543341E-1
8.657442700E-1,-5.705481172E-1,1.065348983E0,-3.042109013E-1
8.940703120E-1,-6.352998316E-2,-7.330382708E-3,6.829473376E-1
9.157234370E-1,1.759291887E-1,4.153883457E-2,9.688322544E-1
9.472468740E-1,8.161159754E-1,-9.248499870E-1,9.089674950E-1
9.739192700E-1,4.007275999E-1,-1.036027431E0,3.701843321E-1
9.940473950E-1,-4.141666293E-1,-7.513642311E-1,-6.108652428E-2
1.015767708E0,-1.247386813E0,-6.853907704E-1,-3.200933933E-1
1.036208333E0,-1.728748560E0,-6.426302195E-1,-1.453859210E-1
1.063799999E0,-9.285151362E-1,5.143485069E-1,7.941248268E-2
1.085549999E0,9.260717034E-1,1.403768301E0,3.323106766E-1
1.113773958E0,1.832595706E0,5.375614017E-2,5.461135507E-1
1.135431770E0,7.147123218E-1,-8.246680498E-1,6.181955934E-1
1.155565624E0,-3.714060783E-1,-6.072000265E-1,1.001819015E0
