"Time (s)","Illuminance (lx)"
6.564843700E-2,1.000000000E0
1.861348950E-1,1.000000000E0
3.062062490E-1,1.000000000E0
4.262151040E-1,1.000000000E0
5.463364580E-1,4.700000000E1
6.664156240E-1,1.530000000E2
7.861859370E-1,9.700000000E1
9.061947910E-1,6.800000000E1
1.026194791E0,4.600000000E1
1.146443749E0,5.200000000E1
1.266440104E0,5.600000000E1
1.386220312E0,4.700000000E1
1.506201562E0,6.600000000E1
1.626209895E0,7.100000000E1
1.746345312E0,7.300000000E1
1.866464583E0,7.700000000E1
1.986200520E0,7.800000000E1
2.106209895E0,7.500000000E1
2.226216145E0,7.300000000E1
2.346399999E0,7.100000000E1
2.466492707E0,7.200000000E1
2.586206770E0,9.500000000E1
2.706214062E0,1.070000000E2
2.826189582E0,9.400000000E1
2.951987499E0,1.210000000E2
3.066441666E0,8.100000000E1
3.186220832E0,1.000000000E0
3.306207812E0,3.000000000E0
3.426207812E0,3.000000000E0
3.546347395E0,3.000000000E0
3.666525520E0,4.000000000E0
3.786198436E0,3.000000000E0
3.906201561E0,3.000000000E0
4.026208853E0,4.000000000E0
4.146351561E0,3.000000000E0
4.266424999E0,4.000000000E0
4.386204686E0,4.000000000E0
4.506301561E0,3.000000000E0
4.626219790E0,3.000000000E0
4.746339582E0,3.000000000E0
4.866436978E0,3.000000000E0
4.986216145E0,4.000000000E0
5.106188540E0,3.000000000E0
5.226196874E0,3.000000000E0
5.346427082E0,3.000000000E0
5.466448436E0,3.000000000E0
5.586192186E0,3.000000000E0
5.706204686E0,3.000000000E0
5.826208853E0,3.000000000E0
5.952351561E0,3.000000000E0
6.066427603E0,3.000000000E0
6.186201561E0,3.000000000E0
6.306210936E0,3.000000000E0
6.426220311E0,3.000000000E0
6.546338019E0,3.000000000E0
6.666437499E0,3.000000000E0
6.786213540E0,3.000000000E0
6.906218228E0,4.000000000E0
7.026195832E0,3.000000000E0
7.146478123E0,3.000000000E0
7.266440623E0,3.000000000E0
7.386217186E0,3.000000000E0
7.506198957E0,3.000000000E0
7.626209373E0,3.000000000E0
7.746348436E0,3.000000000E0
7.866454686E0,3.000000000E0
7.986201040E0,3.000000000E0
8.106204165E0,3.000000000E0
8.226214061E0,4.000000000E0
8.346334894E0,3.000000000E0
8.466426561E0,4.000000000E0
8.586207290E0,3.000000000E0
8.706220311E0,3.000000000E0
8.826195832E0,3.000000000E0
8.956642186E0,3.000000000E0
9.066441144E0,3.000000000E0
9.186214581E0,3.000000000E0
9.306192186E0,4.000000000E0
9.426199998E0,4.000000000E0
9.546461977E0,3.000000000E0
9.666476040E0,3.000000000E0
9.786202081E0,3.000000000E0
9.906203644E0,3.000000000E0
1.002620989E1,3.000000000E0
1.014635364E1,3.000000000E0
1.026642500E1,4.000000000E0
1.038620833E1,3.000000000E0
1.050625417E1,3.000000000E0
1.062622031E1,3.000000000E0
1.074633125E1,3.000000000E0
1.086645312E1,3.000000000E0
1.098623385E1,1.000000000E0
1.110622135E1,2.000000000E0
1.122619739E1,2.000000000E0
1.134633854E1,1.000000000E0
1.146647552E1,1.000000000E0
1.158618906E1,1.000000000E0
1.170620416E1,2.000000000E0
1.182620885E1,2.000000000E0
1.195198906E1,2.000000000E0
1.206642500E1,2.000000000E0
1.218621406E1,2.000000000E0
1.230620729E1,2.000000000E0
1.242621146E1,2.000000000E0
1.254633021E1,2.000000000E0
1.266642968E1,2.000000000E0
1.278621041E1,2.000000000E0
1.290621614E1,2.000000000E0
1.302621146E1,1.000000000E0
1.314642708E1,2.000000000E0
1.326643802E1,2.000000000E0
1.338621562E1,2.000000000E0
1.350619739E1,1.000000000E0
1.362620989E1,2.000000000E0
1.374642708E1,1.000000000E0
1.386645989E1,1.000000000E0
1.398619739E1,0.000000000E0
1.410621094E1,2.000000000E0
1.422621302E1,2.000000000E0
1.434637916E1,2.000000000E0
1.446643177E1,2.000000000E0
1.458620312E1,2.000000000E0
1.470621354E1,1.000000000E0
1.482620104E1,1.000000000E0
1.495191146E1,2.000000000E0
1.506643698E1,1.000000000E0
1.518621875E1,1.000000000E0
1.530619427E1,2.000000000E0
1.542621146E1,1.000000000E0
1.554634739E1,2.000000000E0
1.566645104E1,1.000000000E0
1.578619479E1,1.000000000E0
1.590619948E1,1.000000000E0
1.602621406E1,2.000000000E0
1.614636406E1,2.000000000E0
1.626643854E1,2.000000000E0
1.638621250E1,2.000000000E0
1.650620833E1,2.000000000E0
1.662621771E1,2.000000000E0
1.674632760E1,2.000000000E0
1.686643698E1,2.000000000E0
1.698621354E1,2.000000000E0
1.710622083E1,2.000000000E0
