"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.699427000E-2,-2.072599888E0,2.873499870E0,-7.705999613E-1
5.679895800E-2,-1.126649952E1,4.128399849E0,8.677999973E-1
7.727239500E-2,-2.485199928E0,1.168499947E0,-7.289999723E-1
1.068473950E-1,-5.066199780E0,-1.172199965E0,-1.353399992E0
1.269000000E-1,-2.268599987E0,-5.644599915E0,1.963699937E0
1.475947910E-1,-3.136499882E0,-2.875000000E0,4.588999748E-1
1.677833330E-1,-4.166199684E0,4.416999817E-1,-1.386699915E0
1.879557290E-1,-1.299299955E0,2.399600029E0,-1.114899993E0
2.179776040E-1,-2.653599977E0,4.503299713E0,-3.121899843E0
2.473572910E-1,-1.013599992E0,-1.493699908E0,1.300799966E0
2.676088540E-1,-1.139159966E1,-1.018219948E1,-2.936100006E0
2.973432290E-1,1.231199980E0,9.808699608E0,1.441100001E0
3.175697910E-1,6.949999928E-1,4.355400085E0,-1.611899972E0
3.476182290E-1,4.279699802E0,2.107100010E0,-1.505499959E0
3.676906240E-1,2.779999971E-1,5.006999969E-1,-1.429000020E0
3.974723950E-1,-2.055099964E0,3.603000045E-1,-2.938999832E-1
4.175598950E-1,5.182999969E-1,3.321999907E-1,2.377999872E-1
4.480848950E-1,-2.705099821E0,3.088500023E0,-1.572099924E0
4.729473950E-1,2.153699875E0,-3.253099918E0,-2.612499952E0
4.930916660E-1,2.286099911E0,-3.708999872E0,-3.360999823E-1
5.228598950E-1,-8.049999923E-2,-4.193999767E-1,1.112900019E0
5.431161450E-1,-6.104999781E-1,2.196799994E0,6.074000001E-1
5.729020830E-1,-1.071799994E0,1.598199964E0,1.491899967E0
5.931411450E-1,-5.235999823E-1,-2.275599957E0,8.897999525E-1
6.228901040E-1,6.315000057E-1,-1.008399963E0,5.331000090E-1
6.430692700E-1,-7.245000005E-1,-9.792999625E-1,-8.446999788E-1
6.729869790E-1,-2.791800022E0,4.740299702E0,-1.608699918E0
6.930854160E-1,-3.098500013E0,4.617199898E0,-9.576999545E-1
7.229531240E-1,-1.764199972E0,-9.699999690E-1,1.883499980E0
7.431177080E-1,-2.584999800E-1,-3.278699875E0,1.698499918E0
7.729208330E-1,3.123999834E-1,-2.102799892E0,-5.401999950E-1
7.931624990E-1,-9.648000002E-1,-1.328099966E0,-9.049999714E-1
8.228442700E-1,2.413999885E-1,2.182299852E0,-1.418699980E0
8.431114580E-1,-6.187200069E0,-8.087999344E0,-3.147500038E0
8.729421870E-1,-1.457700014E0,-3.546899796E0,3.647999763E-1
8.931197910E-1,-1.079900026E0,-1.793599963E0,8.880999684E-1
9.228677080E-1,-2.447799921E0,-2.084599972E0,1.688899994E0
9.532817700E-1,-5.692999959E-1,6.474299908E0,1.494899988E0
9.829494790E-1,5.889999866E-1,5.184999943E0,4.565999806E-1
1.012854166E0,1.136799932E0,1.665499926E0,-4.490000010E-2
1.032886979E0,-8.657999635E-1,-3.051499844E0,-1.856099963E0
1.062827083E0,1.865999997E-1,-9.153100014E0,1.832000017E-1
1.093110416E0,-6.270999908E-1,-1.922399998E0,3.907699823E0
1.122830208E0,-2.573099852E0,-3.321999907E-1,1.061800003E0
1.143075520E0,-1.296599984E0,2.730000019E0,-1.353699923E0
1.172872395E0,8.472999930E-1,2.888700008E0,-1.009999990E0
1.193215104E0,7.267000079E-1,1.331200004E0,8.428999782E-1
1.222817187E0,-6.915999651E-1,1.713400006E0,1.906799912E0
1.243088020E0,-1.634499907E0,2.095700026E0,2.010699987E0
1.272858333E0,-7.249999642E-1,3.699800014E0,1.541799903E0
1.293105728E0,-2.295999974E-1,1.803499937E0,7.307999730E-1
1.322888020E0,1.695999950E-1,-4.637999833E-1,8.599999547E-1
1.343322916E0,1.543200016E0,-2.268800020E0,7.329999804E-1
1.372894791E0,-6.300000101E-2,-4.485199928E0,7.024999857E-1
1.393122395E0,-1.591999978E-1,-3.813199997E0,-4.189999774E-2
1.422884895E0,-7.979999483E-2,-8.450999856E-1,-1.089999974E-1
1.452056770E0,-5.829999968E-2,-3.858999908E-1,6.833999753E-1
1.472924478E0,4.666999876E-1,-1.127900004E0,1.448799968E0
1.493197916E0,-7.116000056E-1,-1.523999929E0,1.550599933E0
1.522826562E0,-7.292999625E-1,-4.797999859E-1,1.442699909E0
1.543069791E0,-5.033999681E-1,-7.828999758E-1,1.829399943E0
1.563132812E0,1.305099964E0,-7.515000105E-1,-3.349999785E-1
1.593368228E0,-1.674399972E0,-2.330299854E0,3.071099997E0
1.622836978E0,9.947999716E-1,-2.010900021E0,3.232299805E0
1.643071874E0,1.038200021E0,-1.653199911E0,2.587199926E0
1.672995312E0,-5.141000152E-1,3.073599815E0,1.828899980E0
1.693291666E0,-1.230999947E0,3.494699955E0,1.023499966E0
1.722863541E0,-2.248999834E0,1.340899944E0,2.861699820E0
1.743069791E0,2.324999869E-1,-3.269500017E0,2.983500004E0
1.772910416E0,9.929999709E-1,-1.834499955E0,3.397599936E0
1.793121353E0,-6.816999912E-1,-4.768999815E-1,-2.256099939E0
1.822821353E0,-2.400499821E0,9.860000014E-2,-4.365699768E0
