"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.616260410E-1,3.481250000E1,-3.668750000E1,-1.687500000E0
1.915208330E-1,3.406250000E1,-3.687500000E1,-1.000000000E0
2.213869790E-1,3.462500000E1,-3.587500000E1,-6.250000000E-2
2.414234370E-1,3.518750000E1,-3.587500000E1,-1.875000000E-1
2.713760410E-1,3.543750000E1,-3.637500000E1,-9.375000000E-1
2.914348950E-1,3.593750000E1,-3.675000000E1,-7.500000000E-1
3.213557290E-1,3.443750000E1,-3.750000000E1,1.062500000E0
3.416052080E-1,3.375000000E1,-3.731250000E1,1.000000000E0
3.717302080E-1,3.487500000E1,-3.650000000E1,1.937500000E0
4.017864580E-1,3.481250000E1,-3.687500000E1,3.187500000E0
4.435046870E-1,3.362500000E1,-3.681250000E1,4.812500000E0
4.735104160E-1,3.175000000E1,-3.743750000E1,5.687500000E0
4.936531240E-1,3.081250000E1,-3.800000000E1,5.562500000E0
5.139812490E-1,3.018750000E1,-3.837500000E1,5.875000000E0
5.342942700E-1,3.018750000E1,-3.912500000E1,5.562500000E0
5.635453120E-1,2.937500000E1,-3.943750000E1,6.000000000E0
5.836656240E-1,2.868750000E1,-3.912500000E1,6.000000000E0
6.134651040E-1,2.900000000E1,-3.937500000E1,6.312500000E0
6.342963540E-1,2.900000000E1,-3.931250000E1,6.687500000E0
6.634385410E-1,3.031250000E1,-3.831250000E1,6.250000000E0
6.936473950E-1,3.237500000E1,-3.750000000E1,6.937500000E0
7.237755200E-1,3.181250000E1,-3.775000000E1,8.000000000E0
7.534614580E-1,3.256250000E1,-3.762500000E1,7.062500000E0
7.734812490E-1,3.218750000E1,-3.756250000E1,6.437500000E0
7.939234370E-1,3.168750000E1,-3.737500000E1,6.500000000E0
8.234093740E-1,3.262500000E1,-3.775000000E1,6.375000000E0
8.437046870E-1,3.193750000E1,-3.775000000E1,6.750000000E0
8.735171870E-1,3.156250000E1,-3.843750000E1,7.562500000E0
8.937588540E-1,3.200000000E1,-3.856250000E1,7.500000000E0
9.234739580E-1,3.150000000E1,-3.806250000E1,8.375000000E0
9.468567700E-1,3.012500000E1,-3.825000000E1,8.250000000E0
9.735328120E-1,2.831250000E1,-3.862500000E1,7.500000000E0
9.935937490E-1,2.843750000E1,-3.900000000E1,7.750000000E0
1.023370312E0,2.900000000E1,-3.925000000E1,7.562500000E0
1.043801041E0,2.881250000E1,-3.943750000E1,6.437500000E0
1.073589583E0,2.868750000E1,-3.968750000E1,4.187500000E0
