"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-7.469909191E-1,-7.852981687E-1,9.959878922E0
2.499687500E-2,-6.895300746E-1,-8.714894056E-1,9.777919769E0
4.999218700E-2,-6.033388376E-1,-9.193734527E-1,9.634267807E0
7.498906200E-2,-4.692635238E-1,-9.481038451E-1,9.701305389E0
9.998593700E-2,-4.213795066E-1,-9.481038451E-1,9.864110947E0
1.249828120E-1,-4.692635238E-1,-9.959878922E-1,9.854534149E0
1.450046870E-1,-3.734954596E-1,-9.959878922E-1,9.749189377E0
1.700000000E-1,-2.585737705E-1,-9.576807022E-1,9.758766174E0
1.949968750E-1,-9.576806799E-3,-8.140285611E-1,9.758766174E0
2.199937500E-1,-1.532289088E-1,-6.895300746E-1,9.797073364E0
2.449906250E-1,-3.256114423E-1,-7.852981687E-1,9.911994934E0
2.699859370E-1,-2.202665508E-1,-7.661445141E-1,1.004607010E1
2.949828120E-1,-1.628057212E-1,-6.320692301E-1,9.950302124E0
3.199796870E-1,-1.819593310E-1,-5.363011956E-1,9.739612579E0
3.400015620E-1,-2.202665508E-1,-3.926490843E-1,9.825803757E0
3.649984370E-1,-4.022258818E-1,-1.628057212E-1,9.892841339E0
3.899953120E-1,-5.171475410E-1,-1.149216816E-1,9.634267807E0
4.149906250E-1,-5.363011956E-1,-2.968810201E-1,9.500192642E0
4.399875000E-1,-4.596867263E-1,-6.512228847E-1,9.777919769E0
4.649843750E-1,-3.256114423E-1,-8.140285611E-1,1.003649330E1
4.899812500E-1,-3.926490843E-1,-8.427590132E-1,9.988609314E0
5.100031250E-1,-5.650315881E-1,-7.661445141E-1,9.931148529E0
5.350000000E-1,-8.523358107E-1,-6.703764796E-1,9.662998199E0
5.599968750E-1,-8.906430602E-1,-6.991068721E-1,9.634267807E0
5.849921870E-1,-7.182605267E-1,-8.236053586E-1,9.758766174E0
6.099890620E-1,-6.224924326E-1,-8.331822157E-1,9.548076630E0
6.349859370E-1,-6.416460276E-1,-9.864110947E-1,9.701305389E0
6.599812500E-1,-2.873041928E-1,-1.043871999E0,9.969455719E0
6.800046870E-1,-7.661445439E-2,-8.140285611E-1,9.902418137E0
7.050000000E-1,-3.830722570E-1,-4.309563041E-1,9.758766174E0
7.299968750E-1,-6.033388376E-1,-3.734954596E-1,9.749189377E0
7.549937500E-1,-6.607996821E-1,-5.267243981E-1,9.873687744E0
7.799890620E-1,-5.267243981E-1,-5.937620401E-1,9.892841339E0
