"Time (s)","Illuminance (lx)"
9.497968700E-2,0.000000000E0
2.149890620E-1,0.000000000E0
3.349968750E-1,0.000000000E0
4.550046870E-1,0.000000000E0
5.749812500E-1,0.000000000E0
6.949890620E-1,0.000000000E0
8.149984370E-1,0.000000000E0
9.349750000E-1,0.000000000E0
1.054982812E0,0.000000000E0
1.174990625E0,0.000000000E0
1.294998437E0,0.000000000E0
1.414975000E0,0.000000000E0
1.534982812E0,0.000000000E0
1.654992187E0,0.000000000E0
1.775000000E0,0.000000000E0
1.894976562E0,0.000000000E0
2.014984375E0,0.000000000E0
2.134993750E0,0.000000000E0
2.255001562E0,0.000000000E0
2.374978125E0,0.000000000E0
2.494985937E0,0.000000000E0
2.614993750E0,0.000000000E0
2.735001562E0,0.000000000E0
2.854979687E0,0.000000000E0
2.974987500E0,0.000000000E0
3.094995312E0,0.000000000E0
3.215003125E0,0.000000000E0
3.334979687E0,0.000000000E0
3.454987500E0,0.000000000E0
3.574996875E0,0.000000000E0
3.695004687E0,0.000000000E0
3.814981250E0,0.000000000E0
3.934989062E0,0.000000000E0
4.054998437E0,0.000000000E0
4.174975000E0,0.000000000E0
4.294982812E0,0.000000000E0
4.414990625E0,0.000000000E0
4.534998437E0,0.000000000E0
4.654975000E0,0.000000000E0
4.774982812E0,0.000000000E0
4.894992187E0,0.000000000E0
5.015000000E0,0.000000000E0
5.134976562E0,0.000000000E0
5.254984375E0,0.000000000E0
5.374993750E0,0.000000000E0
5.495001562E0,0.000000000E0
5.614978125E0,0.000000000E0
5.734985937E0,0.000000000E0
5.854993750E0,0.000000000E0
5.975001562E0,0.000000000E0
6.094979687E0,0.000000000E0
6.214987500E0,0.000000000E0
6.334995312E0,0.000000000E0
6.455003125E0,0.000000000E0
6.574981250E0,0.000000000E0
6.694989062E0,0.000000000E0
6.814996875E0,0.000000000E0
6.935004687E0,0.000000000E0
7.054981250E0,0.000000000E0
7.174989062E0,0.000000000E0
7.294998437E0,0.000000000E0
7.414975000E0,0.000000000E0
7.534982812E0,0.000000000E0
7.654990625E0,0.000000000E0
7.774998437E0,0.000000000E0
7.894975000E0,0.000000000E0
8.014982812E0,0.000000000E0
8.134992187E0,0.000000000E0
8.255000000E0,0.000000000E0
8.374976562E0,0.000000000E0
8.494984375E0,0.000000000E0
8.614993750E0,0.000000000E0
8.735001562E0,0.000000000E0
8.854978125E0,0.000000000E0
8.974985937E0,0.000000000E0
9.094993750E0,0.000000000E0
9.215001562E0,0.000000000E0
9.334979687E0,0.000000000E0
9.454987500E0,0.000000000E0
9.574995312E0,0.000000000E0
9.695003125E0,0.000000000E0
9.814979687E0,0.000000000E0
9.934987500E0,0.000000000E0
1.005499688E1,0.000000000E0
1.017500469E1,0.000000000E0
1.029498125E1,0.000000000E0
1.041498906E1,0.000000000E0
1.053499844E1,0.000000000E0
1.065497500E1,0.000000000E0
1.077498281E1,0.000000000E0
1.089499062E1,0.000000000E0
1.101499844E1,0.000000000E0
1.113497656E1,0.000000000E0
1.125498438E1,0.000000000E0
1.137499219E1,0.000000000E0
1.149500000E1,0.000000000E0
1.161497656E1,0.000000000E0
1.173498438E1,0.000000000E0
1.185499375E1,0.000000000E0
1.197500156E1,0.000000000E0
1.209497812E1,0.000000000E0
1.221498594E1,0.000000000E0
1.233499375E1,0.000000000E0
1.245500313E1,0.000000000E0
1.257497969E1,0.000000000E0
1.269498750E1,0.000000000E0
1.281499531E1,0.000000000E0
1.293500313E1,0.000000000E0
1.305497969E1,0.000000000E0
1.317498906E1,0.000000000E0
1.329499688E1,0.000000000E0
1.341497344E1,0.000000000E0
1.353498281E1,0.000000000E0
1.365498906E1,0.000000000E0
1.377499844E1,0.000000000E0
1.389497500E1,0.000000000E0
1.401498281E1,0.000000000E0
1.413499219E1,0.000000000E0
1.425500000E1,0.000000000E0
1.437497656E1,0.000000000E0
1.449498438E1,0.000000000E0
1.461499219E1,0.000000000E0
1.473500000E1,0.000000000E0
1.485497656E1,0.000000000E0
1.497498438E1,0.000000000E0
1.509499375E1,0.000000000E0
1.521500156E1,0.000000000E0
1.533497813E1,0.000000000E0
1.545498594E1,0.000000000E0
1.557499375E1,0.000000000E0
1.569500313E1,0.000000000E0
1.581497969E1,0.000000000E0
1.593498750E1,0.000000000E0
1.605499531E1,0.000000000E0
1.617500312E1,0.000000000E0
1.629497969E1,0.000000000E0
1.641498906E1,0.000000000E0
1.653499688E1,0.000000000E0
1.665497344E1,0.000000000E0
1.677498125E1,0.000000000E0
1.689498906E1,0.000000000E0
1.701499844E1,0.000000000E0
1.713497500E1,0.000000000E0
1.725498281E1,0.000000000E0
1.737499063E1,0.000000000E0
1.749500000E1,0.000000000E0
1.761497656E1,0.000000000E0
1.773498438E1,0.000000000E0
1.785499219E1,0.000000000E0
1.797500000E1,0.000000000E0
1.809497656E1,0.000000000E0
1.821498438E1,0.000000000E0
1.833499375E1,0.000000000E0
1.845500156E1,0.000000000E0
1.857497656E1,0.000000000E0
1.869498594E1,0.000000000E0
1.881499375E1,0.000000000E0
1.893500312E1,0.000000000E0
1.905497969E1,0.000000000E0
1.917498750E1,0.000000000E0
1.929499688E1,0.000000000E0
1.941500469E1,0.000000000E0
1.953498125E1,0.000000000E0
1.965498906E1,0.000000000E0
1.977499688E1,0.000000000E0
1.989497344E1,0.000000000E0
2.001498125E1,0.000000000E0
2.013498906E1,0.000000000E0
2.025499844E1,0.000000000E0
2.037497500E1,0.000000000E0
2.049498281E1,0.000000000E0
2.061499062E1,0.000000000E0
2.073500000E1,0.000000000E0
2.085497656E1,0.000000000E0
2.097498438E1,0.000000000E0
2.109499219E1,0.000000000E0
2.121500000E1,0.000000000E0
2.133497656E1,0.000000000E0
2.145498594E1,0.000000000E0
2.157499375E1,0.000000000E0
2.169500156E1,0.000000000E0
2.181497812E1,0.000000000E0
2.193498594E1,0.000000000E0
2.205499531E1,0.000000000E0
2.217500312E1,0.000000000E0
2.229497969E1,0.000000000E0
2.241498750E1,0.000000000E0
2.253499688E1,0.000000000E0
2.265500469E1,0.000000000E0
2.277498125E1,0.000000000E0
2.289498906E1,0.000000000E0
2.301499688E1,0.000000000E0
2.313497344E1,0.000000000E0
2.325498281E1,0.000000000E0
2.337499063E1,0.000000000E0
2.349499844E1,0.000000000E0
2.361497500E1,0.000000000E0
2.373498281E1,0.000000000E0
2.385499063E1,0.000000000E0
2.397500000E1,0.000000000E0
2.409497656E1,0.000000000E0
2.421498438E1,0.000000000E0
2.433499375E1,0.000000000E0
2.445500000E1,0.000000000E0
2.457497812E1,0.000000000E0
2.469498594E1,0.000000000E0
2.481499375E1,0.000000000E0
2.493500156E1,0.000000000E0
2.505497812E1,0.000000000E0
2.517498594E1,0.000000000E0
2.529499531E1,0.000000000E0
2.541500313E1,0.000000000E0
2.553497969E1,0.000000000E0
2.565498750E1,0.000000000E0
2.577499688E1,0.000000000E0
2.589500469E1,0.000000000E0
2.601498125E1,0.000000000E0
2.613498906E1,0.000000000E0
2.625499688E1,0.000000000E0
2.637497344E1,0.000000000E0
2.649498125E1,0.000000000E0
2.661499062E1,0.000000000E0
2.673499844E1,0.000000000E0
2.685497500E1,0.000000000E0
2.697498438E1,0.000000000E0
2.709499219E1,0.000000000E0
2.721500000E1,0.000000000E0
2.733497656E1,0.000000000E0
2.745498438E1,0.000000000E0
2.757499219E1,0.000000000E0
2.769500000E1,0.000000000E0
2.781497813E1,0.000000000E0
2.793498594E1,0.000000000E0
2.805499375E1,0.000000000E0
2.817500156E1,0.000000000E0
2.829497812E1,0.000000000E0
2.841498594E1,0.000000000E0
2.853499531E1,0.000000000E0
2.865500312E1,0.000000000E0
2.877497969E1,0.000000000E0
2.889498750E1,0.000000000E0
2.901499688E1,0.000000000E0
2.913500469E1,0.000000000E0
2.925498125E1,0.000000000E0
2.937498906E1,0.000000000E0
2.949499688E1,0.000000000E0
2.961497500E1,0.000000000E0
2.973498125E1,0.000000000E0
2.985499063E1,0.000000000E0
2.997499844E1,0.000000000E0
3.009497500E1,0.000000000E0
3.021498281E1,0.000000000E0
3.033499219E1,0.000000000E0
3.045500000E1,0.000000000E0
3.057497656E1,0.000000000E0
3.069498438E1,0.000000000E0
3.081499219E1,0.000000000E0
3.093500000E1,0.000000000E0
3.105497812E1,0.000000000E0
3.117498594E1,0.000000000E0
3.129499375E1,0.000000000E0
3.141500156E1,0.000000000E0
3.153497969E1,0.000000000E0
3.165498594E1,0.000000000E0
3.177499531E1,0.000000000E0
3.189500313E1,0.000000000E0
3.201497969E1,0.000000000E0
3.213498750E1,0.000000000E0
3.225499688E1,0.000000000E0
3.237500469E1,0.000000000E0
3.249498125E1,0.000000000E0
3.261498906E1,0.000000000E0
3.273499688E1,0.000000000E0
3.285497500E1,0.000000000E0
3.297498281E1,0.000000000E0
3.309499062E1,0.000000000E0
3.321499844E1,0.000000000E0
3.333497500E1,0.000000000E0
3.345498281E1,0.000000000E0
3.357499219E1,0.000000000E0
3.369500000E1,0.000000000E0
3.381497656E1,0.000000000E0
3.393498438E1,0.000000000E0
3.405499219E1,0.000000000E0
3.417500156E1,0.000000000E0
3.429497812E1,0.000000000E0
3.441498594E1,0.000000000E0
3.453499375E1,0.000000000E0
3.465500156E1,0.000000000E0
3.477497813E1,0.000000000E0
3.489498594E1,0.000000000E0
3.501499531E1,0.000000000E0
3.513500313E1,0.000000000E0
3.525497969E1,0.000000000E0
3.537498750E1,0.000000000E0
3.549499531E1,0.000000000E0
3.561500469E1,0.000000000E0
3.573498125E1,0.000000000E0
3.585498906E1,0.000000000E0
3.597499688E1,0.000000000E0
3.609497500E1,0.000000000E0
3.621498281E1,0.000000000E0
3.633499062E1,0.000000000E0
3.645499844E1,0.000000000E0
3.657497656E1,0.000000000E0
3.669498281E1,0.000000000E0
3.681499219E1,0.000000000E0
3.693500000E1,0.000000000E0
3.705497656E1,0.000000000E0
3.717498438E1,0.000000000E0
3.729499375E1,0.000000000E0
3.741500156E1,0.000000000E0
3.753497812E1,0.000000000E0
3.765498594E1,0.000000000E0
3.777499375E1,0.000000000E0
3.789500156E1,0.000000000E0
3.801497969E1,0.000000000E0
3.813498750E1,0.000000000E0
3.825499531E1,0.000000000E0
3.837500312E1,0.000000000E0
3.849497969E1,0.000000000E0
3.861498750E1,0.000000000E0
3.873499688E1,0.000000000E0
3.885500469E1,0.000000000E0
3.897498125E1,0.000000000E0
3.909498906E1,0.000000000E0
3.921499688E1,0.000000000E0
3.933497500E1,0.000000000E0
3.945498281E1,0.000000000E0
3.957499063E1,0.000000000E0
3.969500000E1,0.000000000E0
3.981497500E1,0.000000000E0
3.993498281E1,0.000000000E0
4.005499219E1,0.000000000E0
4.017500000E1,0.000000000E0
4.029497656E1,0.000000000E0
4.041498438E1,0.000000000E0
4.053499375E1,0.000000000E0
4.065500156E1,0.000000000E0
4.077497813E1,0.000000000E0
4.089498594E1,0.000000000E0
4.101499375E1,0.000000000E0
4.113500313E1,0.000000000E0
4.125497969E1,0.000000000E0
4.137498750E1,0.000000000E0
4.149499531E1,0.000000000E0
4.161500312E1,0.000000000E0
4.173497969E1,0.000000000E0
4.185498750E1,0.000000000E0
4.197499688E1,0.000000000E0
4.209500469E1,0.000000000E0
4.221498125E1,0.000000000E0
4.233498906E1,0.000000000E0
4.245499844E1,0.000000000E0
4.257497500E1,0.000000000E0
4.269498281E1,0.000000000E0
4.281499062E1,0.000000000E0
4.293499844E1,0.000000000E0
4.305497500E1,0.000000000E0
4.317498438E1,0.000000000E0
4.329499219E1,0.000000000E0
4.341500000E1,0.000000000E0
4.353497812E1,0.000000000E0
4.365498438E1,0.000000000E0
4.377499375E1,0.000000000E0
4.389500156E1,0.000000000E0
4.401497813E1,0.000000000E0
4.413498594E1,0.000000000E0
4.425499375E1,0.000000000E0
4.437500156E1,0.000000000E0
4.449497812E1,0.000000000E0
4.461498750E1,0.000000000E0
4.473499531E1,0.000000000E0
4.485500312E1,0.000000000E0
4.497497969E1,0.000000000E0
4.509498750E1,0.000000000E0
4.521499688E1,0.000000000E0
4.533500469E1,0.000000000E0
4.545498125E1,0.000000000E0
4.557498906E1,0.000000000E0
4.569499844E1,0.000000000E0
4.581497500E1,0.000000000E0
4.593498281E1,0.000000000E0
4.605499062E1,0.000000000E0
4.617499844E1,0.000000000E0
4.629497656E1,0.000000000E0
4.641498438E1,0.000000000E0
4.653499219E1,0.000000000E0
4.665500000E1,0.000000000E0
4.677497656E1,0.000000000E0
4.689498438E1,0.000000000E0
4.701499375E1,0.000000000E0
4.713500156E1,0.000000000E0
4.725497812E1,0.000000000E0
4.737498594E1,0.000000000E0
4.749499375E1,0.000000000E0
4.761500156E1,0.000000000E0
4.773497969E1,0.000000000E0
4.785498750E1,0.000000000E0
4.797499531E1,0.000000000E0
4.809500313E1,0.000000000E0
4.821498125E1,0.000000000E0
4.833498906E1,0.000000000E0
4.845499688E1,0.000000000E0
4.857497188E1,0.000000000E0
4.869498125E1,0.000000000E0
4.881498906E1,0.000000000E0
4.893499844E1,0.000000000E0
4.905497500E1,0.000000000E0
4.917498281E1,0.000000000E0
4.929499063E1,0.000000000E0
4.941499844E1,0.000000000E0
4.953497656E1,0.000000000E0
4.965498438E1,0.000000000E0
4.977499219E1,0.000000000E0
4.989500000E1,0.000000000E0
5.001497656E1,0.000000000E0
5.013498438E1,0.000000000E0
5.025499375E1,0.000000000E0
5.037500156E1,0.000000000E0
5.049497812E1,0.000000000E0
5.061498594E1,0.000000000E0
5.073499531E1,0.000000000E0
5.085500312E1,0.000000000E0
5.097497969E1,0.000000000E0
5.109498750E1,0.000000000E0
5.121499531E1,0.000000000E0
5.133500312E1,0.000000000E0
5.145498125E1,0.000000000E0
5.157498906E1,0.000000000E0
5.169499688E1,0.000000000E0
5.181497344E1,0.000000000E0
5.193498125E1,0.000000000E0
5.205498906E1,0.000000000E0
5.217499844E1,0.000000000E0
5.229497500E1,0.000000000E0
5.241498281E1,0.000000000E0
5.253499219E1,0.000000000E0
5.265499844E1,0.000000000E0
5.277497656E1,0.000000000E0
5.289498438E1,0.000000000E0
5.301499219E1,0.000000000E0
5.313500000E1,0.000000000E0
5.325497656E1,0.000000000E0
5.337498438E1,0.000000000E0
5.349499375E1,0.000000000E0
5.361500156E1,0.000000000E0
5.373497813E1,0.000000000E0
5.385498594E1,0.000000000E0
5.397499531E1,0.000000000E0
5.409500313E1,0.000000000E0
5.421497969E1,0.000000000E0
5.433498750E1,0.000000000E0
5.445499531E1,0.000000000E0
5.457500312E1,0.000000000E0
5.469498125E1,0.000000000E0
5.481498906E1,0.000000000E0
5.493499688E1,0.000000000E0
5.505497344E1,0.000000000E0
5.517498281E1,0.000000000E0
5.529498906E1,0.000000000E0
5.541499844E1,0.000000000E0
5.553497656E1,0.000000000E0
5.565498281E1,0.000000000E0
5.577499062E1,0.000000000E0
5.589499844E1,0.000000000E0
5.601497656E1,0.000000000E0
5.613498438E1,0.000000000E0
5.625499219E1,0.000000000E0
5.637500000E1,0.000000000E0
