"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.999062500E-2,-1.709999889E-2,-2.354999930E-1,5.899999756E-3
4.999218700E-2,1.310000010E-2,-3.370999992E-1,-1.743000001E-1
7.999531200E-2,1.127000004E-1,-3.568999767E-1,-8.889999986E-2
1.099968750E-1,6.319999695E-2,-4.326999784E-1,7.339999825E-2
1.399984370E-1,6.689999998E-2,-4.531999826E-1,-2.679999918E-2
1.700000000E-1,-3.145999908E-1,2.520000003E-2,-3.390000015E-2
2.000031250E-1,-2.707000077E-1,3.479000032E-1,4.799999762E-3
2.299734370E-1,-8.438000083E-1,6.797999740E-1,1.074000001E-1
2.499953120E-1,-9.989999533E-1,7.657999992E-1,2.308999896E-1
2.799968750E-1,-9.405999780E-1,8.969999552E-1,3.729999959E-1
3.100000000E-1,-1.161700010E0,1.181399941E0,1.581999958E-1
3.400015620E-1,-1.213999987E0,1.381899953E0,1.888999939E-1
3.700046870E-1,-1.558399916E0,1.761399984E0,2.782999873E-1
3.999750000E-1,-1.671899915E0,1.752699971E0,-8.599999547E-2
4.199968750E-1,-1.673299909E0,1.533399940E0,-8.639999479E-2
4.499984370E-1,-1.611199975E0,1.287400007E0,3.630000055E-1
4.800015620E-1,-1.543900013E0,1.199199915E0,4.529999793E-1
5.100031250E-1,-1.810799956E0,1.341599941E0,3.938999772E-1
5.399750000E-1,-2.036599874E0,1.418599963E0,8.179999888E-2
5.599968750E-1,-2.132900000E0,1.458899975E0,1.103999987E-1
5.899984370E-1,-1.873799920E0,1.315999985E0,1.859000027E-1
6.200000000E-1,-1.956599951E0,1.360299945E0,2.449999936E-2
6.500015620E-1,-1.705399990E0,1.184000015E0,3.901999891E-1
6.800046870E-1,-1.407099962E0,1.493299961E0,4.228999913E-1
7.099750000E-1,-1.742999911E0,1.844499946E0,2.660000026E-1
7.299968750E-1,-1.911099911E0,1.871999979E0,2.572999895E-1
7.599984370E-1,-2.028100014E0,1.736699939E0,4.535000026E-1
7.900015620E-1,-1.771099925E0,1.701900005E0,3.461000025E-1
8.200031250E-1,-1.684799910E0,1.855799913E0,3.410999775E-1
8.499734370E-1,-1.634299994E0,1.765499949E0,3.413999975E-1
8.699953120E-1,-1.769299984E0,1.624099970E0,3.340999782E-1
8.999984370E-1,-1.907099962E0,1.715099931E0,3.678999841E-1
9.300000000E-1,-1.884699941E0,1.812199950E0,2.654999793E-1
9.600031250E-1,-1.952699900E0,1.946299911E0,3.419999778E-1
9.900046870E-1,-2.107800007E0,1.892300010E0,4.041999876E-1
1.019975000E0,-2.128200054E0,1.785399914E0,3.251000047E-1
1.039996875E0,-1.814700007E0,1.663499951E0,3.614999950E-1
1.069998437E0,-1.489699960E0,1.557199955E0,3.612000048E-1
1.100001562E0,-1.956200004E0,1.754699945E0,2.922999859E-1
1.130003125E0,-2.213199854E0,1.682599902E0,3.698999882E-1
1.159973437E0,-2.240299940E0,1.787299991E0,5.432999730E-1
1.179995312E0,-2.116999865E0,1.767899990E0,5.252999663E-1
1.209998437E0,-1.847299933E0,1.662999988E0,3.701999784E-1
1.240000000E0,-1.789999962E0,1.785599947E0,1.860999912E-1
1.270001562E0,-1.865099907E0,1.790799975E0,2.619000077E-1
1.300004687E0,-1.888000011E0,1.787400007E0,5.555999875E-1
1.329975000E0,-1.725799918E0,1.705799937E0,3.800999820E-1
1.349998437E0,-1.650799990E0,1.683599949E0,2.958999872E-1
1.380000000E0,-1.893799901E0,1.878499985E0,3.910999894E-1
1.410001562E0,-1.965399981E0,1.819700003E0,4.061999917E-1
1.440003125E0,-1.869599938E0,1.797499895E0,4.741999805E-1
1.469973437E0,-1.658999920E0,1.653100014E0,4.569999874E-1
1.489996875E0,-1.602199912E0,1.733699918E0,4.300999939E-1
1.519998437E0,-1.663199902E0,1.799299955E0,3.913999796E-1
1.550000000E0,-1.683699965E0,1.693699956E0,4.880999923E-1
1.580001562E0,-1.946199894E0,1.849099994E0,5.705999732E-1
1.610004687E0,-2.004699945E0,1.814199924E0,4.147000015E-1
1.639975000E0,-2.029299974E0,1.877499938E0,4.661999941E-1
1.659996875E0,-1.998999953E0,1.885299921E0,3.852999806E-1
1.689998437E0,-1.884599924E0,1.875999928E0,4.072999954E-1
1.720012500E0,-1.865199924E0,1.926299930E0,4.925999939E-1
1.750003125E0,-1.752599955E0,1.856399894E0,4.849999845E-1
1.779973437E0,-1.735399961E0,1.892799973E0,4.937999845E-1
1.799996875E0,-1.763000011E0,1.912499905E0,4.122999907E-1
1.829998437E0,-1.761799932E0,1.805499911E0,3.571999967E-1
1.860000000E0,-1.930099964E0,1.846799970E0,5.166999698E-1
1.890003125E0,-1.871399999E0,1.722299933E0,4.706999958E-1
1.920004687E0,-1.854699969E0,1.742199898E0,4.560000002E-1
1.949975000E0,-1.810199976E0,1.746799946E0,3.957999945E-1
1.969996875E0,-1.790300012E0,1.755999923E0,4.177999794E-1
1.999998437E0,-1.842099905E0,1.868399978E0,5.023999810E-1
2.030001562E0,-1.808399916E0,1.842599988E0,4.280000031E-1
2.060003125E0,-1.970999956E0,1.868399978E0,4.448999763E-1
2.089973437E0,-1.993199944E0,1.737399936E0,4.811999798E-1
2.109996875E0,-1.959399939E0,1.723999977E0,5.311999917E-1
2.139998437E0,-1.811499953E0,1.853299975E0,4.736000001E-1
2.170000000E0,-1.557399988E0,1.788599968E0,4.071999788E-1
2.200003125E0,-1.604499936E0,1.837299943E0,4.837999940E-1
2.230004687E0,-1.696999907E0,1.926299930E0,4.878000021E-1
2.259975000E0,-1.968199968E0,2.079699993E0,4.814999998E-1
2.279996875E0,-1.929299951E0,1.980699897E0,5.008999705E-1
2.310000000E0,-1.573499918E0,1.773899913E0,5.092999935E-1
2.340001562E0,-1.681999922E0,1.859399915E0,4.663999975E-1
2.370003125E0,-1.676699996E0,1.828799963E0,4.305999875E-1
2.399975000E0,-1.815299988E0,1.786700010E0,5.609999895E-1
2.419996875E0,-1.884999990E0,1.800699949E0,5.213999748E-1
2.449998437E0,-1.844900012E0,1.777999997E0,4.168999791E-1
2.480000000E0,-1.882299900E0,1.856599927E0,4.635999799E-1
2.510003125E0,-1.798299909E0,1.858999968E0,5.182999969E-1
2.540004687E0,-1.933499932E0,1.949999928E0,4.104999900E-1
2.565001562E0,-1.945599914E0,1.900499940E0,4.483999908E-1
2.595003125E0,-1.795699954E0,1.836599946E0,4.621999860E-1
2.624973437E0,-1.885100007E0,1.981499910E0,4.854999781E-1
2.644995312E0,-1.860499978E0,1.967399955E0,4.977999926E-1
2.674998437E0,-1.751999974E0,1.901799917E0,4.538999796E-1
2.705000000E0,-1.802599907E0,2.001800060E0,4.912000000E-1
2.735001562E0,-1.739199996E0,1.940299988E0,4.842000008E-1
2.765004687E0,-1.734499931E0,2.004799843E0,5.331000090E-1
2.794975000E0,-1.658699989E0,1.950399995E0,4.899999797E-1
2.814996875E0,-1.679399967E0,1.933499932E0,4.810999930E-1
2.845000000E0,-1.754199982E0,1.953599930E0,5.173999667E-1
2.875001562E0,-1.692699909E0,1.881199956E0,4.637999833E-1
2.905003125E0,-1.728699923E0,1.942799926E0,5.175999999E-1
2.934973437E0,-1.707399964E0,1.883899927E0,4.625999928E-1
2.954995312E0,-1.716599941E0,1.857800007E0,4.634999931E-1
2.984998437E0,-1.735499978E0,1.941199899E0,4.900999963E-1
3.015000000E0,-1.774299979E0,1.936199903E0,4.742999971E-1
3.045001562E0,-1.856799960E0,1.993499994E0,5.026999712E-1
3.075004687E0,-1.777899981E0,1.898000002E0,4.566999972E-1
3.104975000E0,-1.797799945E0,2.051100016E0,4.838999808E-1
3.124996875E0,-1.793999910E0,2.039000034E0,4.726999998E-1
3.154998437E0,-1.766099930E0,1.950699925E0,4.558999836E-1
3.185001562E0,-1.776199937E0,1.908199906E0,4.578000009E-1
3.215003125E0,-1.626399994E0,1.847499967E0,4.165999889E-1
3.244973437E0,-1.561800003E0,1.758899927E0,3.630999923E-1
3.264996875E0,-1.488999963E0,1.691499949E0,3.305999935E-1
3.294998437E0,-1.385599971E0,1.540599942E0,3.570999801E-1
3.325001562E0,-1.354300022E0,1.562899947E0,3.173999786E-1
3.355003125E0,-1.274799943E0,1.433099985E0,2.309999913E-1
3.385004687E0,-1.176999927E0,1.368499994E0,2.351000011E-1
3.414975000E0,-1.114799976E0,1.285799980E0,2.134999931E-1
3.434996875E0,-1.080799937E0,1.208099961E0,2.090999931E-1
3.465000000E0,-1.010499954E0,1.171100020E0,1.763999909E-1
3.495001562E0,-9.407999516E-1,1.071499944E0,1.523000002E-1
3.525003125E0,-8.927999735E-1,9.995999932E-1,1.314999908E-1
3.554996875E0,-8.230999708E-1,9.232999682E-1,1.692000031E-1
3.574996875E0,-8.161000013E-1,9.030999541E-1,1.305000037E-1
3.604998437E0,-7.534999847E-1,8.933999538E-1,9.239999950E-2
3.635000000E0,-6.902999878E-1,8.001999855E-1,8.659999818E-2
3.665003125E0,-6.712999940E-1,7.662000060E-1,1.092000008E-1
3.695004687E0,-6.056999564E-1,7.210999727E-1,7.710000128E-2
3.724975000E0,-5.505999923E-1,6.808999777E-1,8.129999787E-2
3.744996875E0,-5.460000038E-1,6.231999993E-1,7.620000094E-2
3.775000000E0,-5.450999737E-1,5.708000064E-1,5.729999766E-2
3.805001562E0,-4.634999931E-1,5.178999901E-1,1.409999933E-2
3.835003125E0,-4.878000021E-1,4.930000007E-1,4.609999806E-2
3.864975000E0,-4.093999863E-1,5.261999965E-1,5.460000038E-2
3.884996875E0,-4.384999871E-1,4.758999944E-1,4.160000011E-2
