"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.649953120E-1,-1.256250000E1,1.587500000E1,-4.456250000E1
1.949968750E-1,-1.243750000E1,1.625000000E1,-4.537500000E1
2.250000000E-1,-1.200000000E1,1.581250000E1,-4.437500000E1
2.550015620E-1,-1.256250000E1,1.575000000E1,-4.350000000E1
2.850031250E-1,-1.275000000E1,1.581250000E1,-4.381250000E1
3.149734370E-1,-1.325000000E1,1.518750000E1,-4.462500000E1
3.349968750E-1,-1.337500000E1,1.512500000E1,-4.493750000E1
3.649984370E-1,-1.312500000E1,1.537500000E1,-4.400000000E1
3.950000000E-1,-1.281250000E1,1.556250000E1,-4.387500000E1
4.250015620E-1,-1.218750000E1,1.493750000E1,-4.393750000E1
4.550046870E-1,-1.256250000E1,1.500000000E1,-4.418750000E1
4.849750000E-1,-1.268750000E1,1.518750000E1,-4.506250000E1
5.049968750E-1,-1.206250000E1,1.550000000E1,-4.537500000E1
5.350000000E-1,-1.231250000E1,1.475000000E1,-4.387500000E1
5.650015620E-1,-1.243750000E1,1.443750000E1,-4.431250000E1
5.950031250E-1,-1.225000000E1,1.468750000E1,-4.443750000E1
6.249750000E-1,-1.256250000E1,1.468750000E1,-4.437500000E1
6.449968750E-1,-1.225000000E1,1.462500000E1,-4.468750000E1
6.749984370E-1,-1.200000000E1,1.450000000E1,-4.468750000E1
7.050000000E-1,-1.218750000E1,1.462500000E1,-4.412500000E1
7.350031250E-1,-1.231250000E1,1.500000000E1,-4.462500000E1
7.650046870E-1,-1.281250000E1,1.450000000E1,-4.468750000E1
7.949750000E-1,-1.287500000E1,1.425000000E1,-4.487500000E1
8.149984370E-1,-1.281250000E1,1.431250000E1,-4.462500000E1
8.450000000E-1,-1.300000000E1,1.412500000E1,-4.387500000E1
8.750015620E-1,-1.262500000E1,1.475000000E1,-4.437500000E1
9.050031250E-1,-1.287500000E1,1.443750000E1,-4.481250000E1
9.349750000E-1,-1.337500000E1,1.375000000E1,-4.487500000E1
9.549968750E-1,-1.293750000E1,1.318750000E1,-4.531250000E1
9.849984370E-1,-1.256250000E1,1.418750000E1,-4.506250000E1
1.015001562E0,-1.237500000E1,1.475000000E1,-4.443750000E1
1.045004687E0,-1.275000000E1,1.468750000E1,-4.468750000E1
1.075004687E0,-1.356250000E1,1.462500000E1,-4.487500000E1
1.104975000E0,-1.318750000E1,1.450000000E1,-4.462500000E1
1.124998437E0,-1.337500000E1,1.462500000E1,-4.462500000E1
1.155000000E0,-1.343750000E1,1.443750000E1,-4.437500000E1
1.185001562E0,-1.375000000E1,1.462500000E1,-4.425000000E1
1.215004687E0,-1.306250000E1,1.525000000E1,-4.468750000E1
1.244975000E0,-1.312500000E1,1.550000000E1,-4.475000000E1
1.264996875E0,-1.325000000E1,1.525000000E1,-4.437500000E1
1.294998437E0,-1.312500000E1,1.481250000E1,-4.456250000E1
1.325001562E0,-1.362500000E1,1.543750000E1,-4.456250000E1
1.355003125E0,-1.356250000E1,1.506250000E1,-4.443750000E1
1.385004687E0,-1.400000000E1,1.537500000E1,-4.443750000E1
1.414975000E0,-1.343750000E1,1.593750000E1,-4.387500000E1
1.434998437E0,-1.337500000E1,1.618750000E1,-4.387500000E1
1.465000000E0,-1.350000000E1,1.587500000E1,-4.437500000E1
1.495001562E0,-1.368750000E1,1.612500000E1,-4.443750000E1
1.525004687E0,-1.356250000E1,1.600000000E1,-4.400000000E1
1.554975000E0,-1.331250000E1,1.550000000E1,-4.468750000E1
1.574996875E0,-1.350000000E1,1.550000000E1,-4.468750000E1
1.604998437E0,-1.362500000E1,1.637500000E1,-4.368750000E1
1.635001562E0,-1.343750000E1,1.618750000E1,-4.437500000E1
1.665003125E0,-1.306250000E1,1.512500000E1,-4.462500000E1
1.694973437E0,-1.368750000E1,1.537500000E1,-4.381250000E1
1.714996875E0,-1.356250000E1,1.531250000E1,-4.462500000E1
1.744998437E0,-1.375000000E1,1.487500000E1,-4.587500000E1
1.775000000E0,-1.400000000E1,1.456250000E1,-4.543750000E1
1.805001562E0,-1.356250000E1,1.487500000E1,-4.500000000E1
1.835004687E0,-1.387500000E1,1.493750000E1,-4.525000000E1
1.864975000E0,-1.325000000E1,1.500000000E1,-4.512500000E1
1.884996875E0,-1.300000000E1,1.518750000E1,-4.468750000E1
1.915000000E0,-1.293750000E1,1.562500000E1,-4.481250000E1
1.945001562E0,-1.356250000E1,1.593750000E1,-4.468750000E1
1.975003125E0,-1.368750000E1,1.587500000E1,-4.456250000E1
2.004973437E0,-1.318750000E1,1.537500000E1,-4.431250000E1
2.024995312E0,-1.300000000E1,1.562500000E1,-4.400000000E1
2.045009375E0,-1.337500000E1,1.568750000E1,-4.418750000E1
2.074987500E0,-1.368750000E1,1.531250000E1,-4.475000000E1
2.104990625E0,-1.318750000E1,1.612500000E1,-4.581250000E1
2.134993750E0,-1.387500000E1,1.637500000E1,-4.456250000E1
2.164995312E0,-1.350000000E1,1.600000000E1,-4.437500000E1
2.194996875E0,-1.343750000E1,1.575000000E1,-4.350000000E1
2.225000000E0,-1.331250000E1,1.593750000E1,-4.350000000E1
2.255001562E0,-1.400000000E1,1.575000000E1,-4.418750000E1
2.285003125E0,-1.406250000E1,1.512500000E1,-4.368750000E1
2.314973437E0,-1.350000000E1,1.568750000E1,-4.375000000E1
2.334996875E0,-1.306250000E1,1.581250000E1,-4.368750000E1
2.364998437E0,-1.318750000E1,1.543750000E1,-4.368750000E1
2.395000000E0,-1.362500000E1,1.556250000E1,-4.406250000E1
2.425001562E0,-1.362500000E1,1.612500000E1,-4.387500000E1
2.455004687E0,-1.337500000E1,1.606250000E1,-4.406250000E1
2.484975000E0,-1.356250000E1,1.693750000E1,-4.356250000E1
2.504996875E0,-1.362500000E1,1.700000000E1,-4.431250000E1
2.535000000E0,-1.337500000E1,1.612500000E1,-4.362500000E1
2.565001562E0,-1.331250000E1,1.575000000E1,-4.337500000E1
2.595003125E0,-1.368750000E1,1.593750000E1,-4.306250000E1
2.624973437E0,-1.343750000E1,1.637500000E1,-4.300000000E1
2.644995312E0,-1.362500000E1,1.643750000E1,-4.381250000E1
2.674998437E0,-1.387500000E1,1.625000000E1,-4.450000000E1
2.705000000E0,-1.312500000E1,1.637500000E1,-4.431250000E1
2.735001562E0,-1.368750000E1,1.650000000E1,-4.431250000E1
2.765004687E0,-1.306250000E1,1.662500000E1,-4.343750000E1
2.794975000E0,-1.331250000E1,1.687500000E1,-4.400000000E1
2.814996875E0,-1.368750000E1,1.656250000E1,-4.431250000E1
2.845000000E0,-1.362500000E1,1.643750000E1,-4.450000000E1
2.875001562E0,-1.356250000E1,1.612500000E1,-4.450000000E1
2.905003125E0,-1.406250000E1,1.562500000E1,-4.375000000E1
2.934973437E0,-1.381250000E1,1.612500000E1,-4.356250000E1
2.954995312E0,-1.375000000E1,1.637500000E1,-4.406250000E1
2.984998437E0,-1.393750000E1,1.662500000E1,-4.393750000E1
3.015000000E0,-1.406250000E1,1.662500000E1,-4.362500000E1
3.045001562E0,-1.443750000E1,1.606250000E1,-4.443750000E1
3.075004687E0,-1.387500000E1,1.668750000E1,-4.387500000E1
3.104975000E0,-1.343750000E1,1.618750000E1,-4.343750000E1
3.124996875E0,-1.425000000E1,1.593750000E1,-4.362500000E1
