"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.600187500E-1,-8.552113548E-3,-8.796459436E-2,-4.886921868E-2
1.850140630E-1,-8.552113548E-3,-8.796459436E-2,-4.886921868E-2
2.100109380E-1,3.665191308E-2,-2.748893499E-1,-1.710422710E-2
2.350078130E-1,4.886921868E-2,-2.333505154E-1,-3.787364438E-2
2.600031250E-1,2.076941729E-2,-2.345722467E-1,-2.809980139E-2
2.850000000E-1,3.787364438E-2,-1.930334121E-1,7.330382708E-3
3.099968750E-1,5.375614017E-2,-1.136209369E-1,9.773843922E-3
3.349937500E-1,3.176499158E-2,-2.321287990E-2,-9.773843922E-3
3.550156250E-1,1.588249579E-2,2.076941729E-2,-4.886921961E-3
3.800437500E-1,-8.552113548E-3,3.665191308E-2,6.108652335E-3
4.050093750E-1,3.176499158E-2,6.841690838E-2,2.321287990E-2
4.300062500E-1,1.270599663E-1,5.009094998E-2,1.832595654E-2
4.550015630E-1,2.235766798E-1,-6.841690838E-2,1.588249579E-2
4.800015630E-1,2.321287841E-1,-9.651670605E-2,1.710422710E-2
5.049937500E-1,1.710422635E-1,-4.276056588E-2,3.054326214E-2
5.250171880E-1,5.986479297E-2,3.176499158E-2,4.886921961E-3
5.500140630E-1,-5.375614017E-2,8.918632567E-2,-2.076941729E-2
5.750093750E-1,-1.197295859E-1,8.674286306E-2,-7.330382708E-3
6.000062500E-1,-1.661553383E-1,8.307766914E-2,8.552113548E-3
6.250015630E-1,-1.014036313E-1,8.307766914E-2,2.076941729E-2
6.500000000E-1,-7.330382708E-3,1.148426607E-1,4.031710699E-2
6.749953130E-1,3.543018550E-2,1.392772794E-1,4.398229718E-2
6.950171880E-1,4.886921868E-2,1.319468915E-1,3.543018550E-2
7.200140630E-1,5.864306167E-2,7.941248268E-2,2.321287990E-2
7.450109380E-1,4.031710699E-2,3.054326214E-2,-9.773843922E-3
7.700078130E-1,1.954768784E-2,3.543018550E-2,-3.665191308E-2
7.950031250E-1,3.665191354E-3,4.398229718E-2,-4.520402849E-2
8.200000000E-1,-1.099557430E-2,3.054326214E-2,-4.153883457E-2
8.449968750E-1,-2.076941729E-2,-1.588249579E-2,-1.710422710E-2
8.650187500E-1,-1.832595654E-2,-4.276056588E-2,-8.552113548E-3
8.900156250E-1,-7.330382708E-3,-4.764748737E-2,3.665191354E-3
9.150125000E-1,1.099557430E-2,-5.009094998E-2,1.710422710E-2
9.400078130E-1,1.343903504E-2,-5.009094998E-2,9.773843922E-3
9.650046880E-1,0.000000000E0,-5.009094998E-2,-2.443460980E-3
9.900015630E-1,-9.773843922E-3,-3.909537569E-2,1.221730490E-3
1.014996875E0,-7.330382708E-3,-4.153883457E-2,-2.443460980E-3
1.039995313E0,9.773843922E-3,-1.466076542E-2,-1.221730490E-3
1.060017188E0,1.710422710E-2,3.665191354E-3,1.221730490E-3
1.085012500E0,1.954768784E-2,-4.886921961E-3,4.886921961E-3
1.110018750E0,1.343903504E-2,1.221730467E-2,1.954768784E-2
1.135006250E0,-1.099557430E-2,-9.773843922E-3,2.687807009E-2
1.160003125E0,-2.565634064E-2,-1.954768784E-2,1.099557430E-2
1.184998438E0,-4.642575979E-2,-6.108652335E-3,-9.773843922E-3
1.209995313E0,-5.497787148E-2,6.108652335E-3,-1.221730467E-2
1.230017188E0,-5.619960278E-2,-2.443460980E-3,1.221730490E-3
1.255014063E0,-6.108652428E-2,-2.443460980E-3,1.588249579E-2
1.280010938E0,-7.330382615E-2,-2.809980139E-2,1.954768784E-2
1.305006250E0,-6.475171447E-2,-6.352998316E-2,2.443460934E-2
1.330003125E0,-5.497787148E-2,-8.063421398E-2,1.832595654E-2
1.355000000E0,-4.520402849E-2,-9.407324344E-2,1.710422710E-2
1.379995313E0,-3.420845419E-2,-1.123992056E-1,9.773843922E-3
1.400018750E0,-2.076941729E-2,-1.038470864E-1,7.330382708E-3
1.425015625E0,-1.832595654E-2,-9.162978828E-2,1.099557430E-2
1.450012500E0,-1.710422710E-2,-9.529497474E-2,1.343903504E-2
1.475006250E0,-1.710422710E-2,-7.574728876E-2,1.343903504E-2
1.500004688E0,-3.543018550E-2,-3.420845419E-2,1.588249579E-2
1.525000000E0,-6.597344577E-2,-8.552113548E-3,1.466076542E-2
1.549998438E0,-7.941248268E-2,-1.832595654E-2,1.099557430E-2
1.574993750E0,-7.086037099E-2,-3.054326214E-2,2.443460980E-3
1.595015625E0,-5.864306167E-2,-1.588249579E-2,-3.665191354E-3
1.620012500E0,-3.665191308E-2,1.832595654E-2,-1.221730490E-3
1.645009375E0,-2.443460980E-3,8.307766914E-2,-1.221730467E-2
1.670006250E0,3.420845419E-2,1.466076523E-1,-9.773843922E-3
1.695001563E0,6.841690838E-2,1.783726513E-1,4.886921961E-3
1.719998438E0,7.941248268E-2,1.844813079E-1,1.954768784E-2
1.744995313E0,7.696902007E-2,1.539380401E-1,2.565634064E-2
1.765017188E0,6.230825558E-2,1.050688177E-1,2.687807009E-2
1.790014063E0,3.787364438E-2,6.841690838E-2,1.588249579E-2
1.815009375E0,7.330382708E-3,3.420845419E-2,7.330382708E-3
1.840007813E0,-1.710422710E-2,-4.886921961E-3,2.443460980E-3
1.865003125E0,-3.665191308E-2,-5.742133036E-2,2.443460980E-3
1.890000000E0,-4.520402849E-2,-7.696902007E-2,4.886921961E-3
1.914995313E0,-4.398229718E-2,-7.941248268E-2,4.886921961E-3
1.935018750E0,-3.665191308E-2,-6.963863969E-2,7.330382708E-3
1.960015625E0,-1.343903504E-2,-2.443460934E-2,1.343903504E-2
1.985010938E0,7.330382708E-3,1.954768784E-2,1.343903504E-2
2.010007813E0,6.108652335E-3,3.298672289E-2,9.773843922E-3
2.035003125E0,2.443460980E-3,2.565634064E-2,9.773843922E-3
2.060000000E0,1.221730490E-3,1.099557430E-2,6.108652335E-3
2.084996875E0,1.221730490E-3,2.321287990E-2,1.221730490E-3
2.109993750E0,3.665191354E-3,5.131268129E-2,3.665191354E-3
2.130015625E0,2.443460980E-3,6.597344577E-2,1.466076542E-2
2.155012500E0,7.330382708E-3,6.230825558E-2,3.176499158E-2
2.180009375E0,2.076941729E-2,4.886921868E-2,4.642575979E-2
2.205004688E0,5.497787148E-2,5.253440887E-2,3.909537569E-2
2.230001563E0,4.031710699E-2,5.497787148E-2,1.588249579E-2
2.254998438E0,2.321287990E-2,-1.954768784E-2,-1.221730467E-2
2.279995313E0,2.199114859E-2,-9.407324344E-2,-2.565634064E-2
2.300017188E0,1.832595654E-2,-1.136209369E-1,-2.199114859E-2
2.325012500E0,1.710422710E-2,-1.282816976E-1,-1.954768784E-2
2.350010938E0,1.954768784E-2,-1.380555481E-1,-1.343903504E-2
2.375009375E0,-1.221730490E-3,-9.040805697E-2,-2.443460980E-3
2.400003125E0,-1.221730467E-2,-4.520402849E-2,6.108652335E-3
2.425000000E0,-2.809980139E-2,-2.687807009E-2,2.321287990E-2
2.449995313E0,-2.565634064E-2,-4.886921868E-2,3.787364438E-2
2.470017188E0,-2.932153083E-2,-9.407324344E-2,4.276056588E-2
2.495014063E0,-2.809980139E-2,-1.747074574E-1,9.773843922E-3
2.520012500E0,-4.031710699E-2,-2.406809032E-1,-2.565634064E-2
