"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
1.200046880E-1,0.000000000E0
2.400125000E-1,0.000000000E0
3.599906250E-1,0.000000000E0
4.800015630E-1,0.000000000E0
6.000062500E-1,0.000000000E0
7.200140630E-1,0.000000000E0
8.399906250E-1,0.000000000E0
9.600000000E-1,0.000000000E0
1.080007813E0,0.000000000E0
1.200015625E0,0.000000000E0
1.319992188E0,0.000000000E0
1.440000000E0,0.000000000E0
1.560009375E0,0.000000000E0
1.680017188E0,0.000000000E0
1.799993750E0,0.000000000E0
1.920001563E0,0.000000000E0
2.040009375E0,0.000000000E0
2.160018750E0,0.000000000E0
2.279995313E0,0.000000000E0
2.400003125E0,0.000000000E0
2.520012500E0,0.000000000E0
2.640018750E0,0.000000000E0
2.759996875E0,0.000000000E0
2.880025000E0,0.000000000E0
3.000012500E0,0.000000000E0
3.119989063E0,0.000000000E0
3.239996875E0,0.000000000E0
3.360006250E0,0.000000000E0
3.480014063E0,0.000000000E0
3.599990625E0,0.000000000E0
3.719998438E0,0.000000000E0
3.840007813E0,0.000000000E0
3.960015625E0,0.000000000E0
4.079990625E0,0.000000000E0
4.199998438E0,0.000000000E0
4.320007813E0,0.000000000E0
4.440015625E0,0.000000000E0
4.559992188E0,0.000000000E0
4.680000000E0,0.000000000E0
4.800009375E0,0.000000000E0
4.920017188E0,0.000000000E0
5.039993750E0,0.000000000E0
5.160001563E0,0.000000000E0
5.280010938E0,0.000000000E0
5.400018750E0,0.000000000E0
5.519995313E0,0.000000000E0
5.640003125E0,0.000000000E0
5.760010938E0,0.000000000E0
5.879987500E0,0.000000000E0
5.999996875E0,0.000000000E0
6.120004688E0,0.000000000E0
6.240012500E0,0.000000000E0
6.359989063E0,0.000000000E0
6.479996875E0,0.000000000E0
6.600006250E0,0.000000000E0
6.720012500E0,0.000000000E0
6.839990625E0,0.000000000E0
6.959998438E0,0.000000000E0
7.080007813E0,0.000000000E0
7.200015625E0,0.000000000E0
7.319992188E0,0.000000000E0
7.440000000E0,0.000000000E0
7.560007813E0,0.000000000E0
7.680015625E0,0.000000000E0
7.799992188E0,0.000000000E0
7.920001563E0,0.000000000E0
8.040009375E0,0.000000000E0
8.160017188E0,0.000000000E0
8.279993750E0,0.000000000E0
8.400001563E0,0.000000000E0
8.520010938E0,0.000000000E0
8.640018750E0,0.000000000E0
8.759995313E0,0.000000000E0
8.880003125E0,0.000000000E0
9.000012500E0,0.000000000E0
9.119989063E0,0.000000000E0
9.239996875E0,0.000000000E0
9.360004688E0,0.000000000E0
9.480012500E0,0.000000000E0
9.599989063E0,0.000000000E0
9.719996875E0,0.000000000E0
9.840006250E0,0.000000000E0
9.960014063E0,0.000000000E0
1.007999062E1,0.000000000E0
1.019999844E1,0.000000000E0
1.032000625E1,0.000000000E0
1.044001563E1,0.000000000E0
1.055999219E1,0.000000000E0
1.068000000E1,0.000000000E0
1.080000781E1,0.000000000E0
1.092001563E1,0.000000000E0
1.103999219E1,0.000000000E0
