"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.999843800E-2,-1.667999923E-1,1.053999960E-1,-1.481000036E-1
6.000156300E-2,-2.069000006E-1,5.249999836E-2,-2.669999897E-1
9.000312500E-2,-1.378999949E-1,1.009999961E-1,-2.495999932E-1
1.200046880E-1,3.680000082E-2,2.682999969E-1,-1.184999943E-1
1.400062500E-1,1.591999978E-1,2.471999973E-1,-6.579999626E-2
1.600187500E-1,1.599999964E-1,2.266999930E-1,-1.127000004E-1
1.899890630E-1,1.647000015E-1,-4.939999804E-2,-1.223999932E-1
2.100109380E-1,2.071999907E-1,2.829999849E-2,-1.553999931E-1
2.400125000E-1,3.669999838E-1,2.128999978E-1,3.130000085E-2
2.700156250E-1,5.320000052E-1,3.009999916E-2,1.559000015E-1
3.000171880E-1,4.298000038E-1,1.740000024E-2,4.779999703E-2
3.299875000E-1,3.410999775E-1,3.499999875E-3,-4.429999739E-2
3.500093750E-1,3.131999969E-1,3.139999881E-2,-8.799999952E-3
3.850328130E-1,3.386999965E-1,-5.849999934E-2,2.149999887E-2
4.149875000E-1,4.309999943E-2,-3.738999963E-1,-5.619999766E-2
4.350109380E-1,-7.369999588E-2,-1.092000008E-1,2.070000023E-2
4.650125000E-1,-1.193000004E-1,5.304999948E-1,2.036999911E-1
4.950140630E-1,-3.156999946E-1,4.025000036E-1,3.290999830E-1
5.250171880E-1,-4.346999824E-1,4.505999982E-1,2.379999906E-1
5.550187500E-1,-1.811999977E-1,5.871999860E-1,6.369000077E-1
5.849890630E-1,4.999999702E-2,-4.279999807E-2,3.134000003E-1
6.050109380E-1,-2.989999950E-2,-1.815999895E-1,2.190000005E-2
6.350140630E-1,-9.739999473E-2,-8.460000157E-2,-2.800000012E-1
6.650156250E-1,-3.768999875E-1,3.299999982E-2,-7.109999657E-2
6.950171880E-1,-4.966000021E-1,-5.439999700E-2,2.440999895E-1
7.249890630E-1,-7.655000091E-1,-3.379999846E-2,2.366999984E-1
7.450109380E-1,-7.276999950E-1,4.559999704E-2,8.859999478E-2
7.750125000E-1,-5.435000062E-1,2.630999982E-1,1.120999977E-1
8.050140630E-1,-3.601999879E-1,1.365000010E-1,3.482999802E-1
8.350171880E-1,-2.782999873E-1,8.999999613E-3,4.102999866E-1
8.650187500E-1,-2.716000080E-1,8.739999682E-2,3.400000036E-1
8.949890630E-1,-3.115999997E-1,1.557999998E-1,3.282999992E-1
9.150125000E-1,-3.332999945E-1,8.709999919E-2,3.574999869E-1
9.450140630E-1,-3.373000026E-1,1.458999962E-1,4.159999788E-1
