"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.815581083E0,1.235408115E1,8.331822157E-1
2.499687500E-2,1.532289028E0,1.277546024E1,9.193734527E-1
4.999375000E-2,2.212242365E0,1.283292103E1,2.193088770E0
7.498906200E-2,3.572149038E0,1.523670006E1,1.493981838E0
9.998437500E-2,3.179499865E0,1.278503704E1,-1.216254473E0
1.249828120E-1,4.596867263E-1,1.013226128E1,-2.537853718E0
1.499781250E-1,8.044517636E-1,1.218169785E1,-2.183511972E0
1.700015620E-1,3.447650373E-1,1.603157425E1,3.284844637E0
1.949984370E-1,-3.715801001E0,1.628057098E1,3.476380825E0
2.199937500E-1,-2.940079689E0,1.220085144E1,2.059013367E0
2.449921870E-1,2.873042040E-2,6.607996464E0,1.666364431E0
2.699875000E-1,7.182605267E-1,5.947196960E0,9.768342972E-1
2.949828120E-1,7.661445141E-1,6.244078159E0,-4.979939461E-1
3.150156250E-1,1.043871999E0,5.621585369E0,-1.091755986E0
3.400031250E-1,1.532289088E-1,3.878606796E0,8.714894056E-1
3.650000000E-1,-1.685518026E0,2.949656487E0,3.658340216E0
3.899953120E-1,-2.930502892E0,3.112462282E0,4.529829502E0
4.149906250E-1,-2.834734917E0,5.114014626E0,4.845864296E0
4.399875000E-1,-2.202665567E0,6.272808552E0,5.181052685E0
4.649843750E-1,-1.867477298E0,7.249642849E0,5.458779812E0
4.899812500E-1,-2.327163935E0,7.939172745E0,6.435614109E0
5.149781250E-1,-2.758120298E0,1.473870564E1,6.971915245E0
5.350000000E-1,1.043871999E0,1.871308136E1,5.755661011E0
5.599968750E-1,1.302445769E0,1.648168373E1,6.713341713E0
5.849921870E-1,-2.547430515E0,1.046745014E1,6.445190907E0
6.099906250E-1,-2.308010340E0,1.373314095E1,6.722918510E0
6.349859370E-1,-5.841852427E-1,1.451843929E1,-7.948749661E-1
6.599812500E-1,-2.528276920E0,5.228936672E0,-6.703764796E-1
