"Time (s)","Illuminance (lx)"
6.998437500E-2,0.000000000E0
1.899906250E-1,0.000000000E0
3.100000000E-1,0.000000000E0
4.299765620E-1,0.000000000E0
5.499843750E-1,0.000000000E0
6.699937500E-1,0.000000000E0
7.900015620E-1,0.000000000E0
9.099781250E-1,0.000000000E0
1.029985937E0,0.000000000E0
1.149995312E0,0.000000000E0
1.269971875E0,0.000000000E0
1.389979687E0,0.000000000E0
1.509987500E0,0.000000000E0
1.629995312E0,0.000000000E0
1.749973437E0,0.000000000E0
1.869981250E0,0.000000000E0
1.989989062E0,0.000000000E0
2.109996875E0,0.000000000E0
2.229973437E0,0.000000000E0
2.349981250E0,0.000000000E0
2.469990625E0,0.000000000E0
2.589998437E0,0.000000000E0
2.709975000E0,0.000000000E0
2.829982812E0,0.000000000E0
2.949992187E0,0.000000000E0
3.069998437E0,0.000000000E0
3.189976562E0,0.000000000E0
3.309984375E0,0.000000000E0
3.429993750E0,0.000000000E0
3.550000000E0,0.000000000E0
3.669978125E0,0.000000000E0
3.789985937E0,0.000000000E0
3.909992187E0,0.000000000E0
4.030001562E0,0.000000000E0
4.149978125E0,0.000000000E0
4.269985937E0,0.000000000E0
4.389995312E0,0.000000000E0
4.509971875E0,0.000000000E0
4.629978125E0,0.000000000E0
4.749987500E0,0.000000000E0
4.869995312E0,0.000000000E0
4.989973437E0,0.000000000E0
5.109981250E0,0.000000000E0
5.229987500E0,0.000000000E0
5.349996875E0,0.000000000E0
5.469973437E0,0.000000000E0
5.589981250E0,0.000000000E0
5.709989062E0,0.000000000E0
5.829996875E0,0.000000000E0
5.949975000E0,0.000000000E0
6.069982812E0,0.000000000E0
6.189990625E0,1.000000000E0
6.309998437E0,1.000000000E0
6.429976562E0,1.000000000E0
6.549984375E0,1.000000000E0
6.669992187E0,0.000000000E0
6.790001562E0,0.000000000E0
6.909976562E0,0.000000000E0
7.029985937E0,0.000000000E0
7.149992187E0,0.000000000E0
7.270001562E0,0.000000000E0
7.389978125E0,0.000000000E0
7.509985937E0,0.000000000E0
7.629993750E0,0.000000000E0
7.749971875E0,0.000000000E0
7.869978125E0,0.000000000E0
7.989987500E0,0.000000000E0
8.109996875E0,0.000000000E0
8.229973437E0,0.000000000E0
8.349979687E0,0.000000000E0
8.469989062E0,0.000000000E0
8.589996875E0,0.000000000E0
8.709973437E0,0.000000000E0
8.829981250E0,0.000000000E0
8.949990625E0,0.000000000E0
9.069996875E0,0.000000000E0
9.189975000E0,0.000000000E0
9.309982812E0,0.000000000E0
9.429993750E0,0.000000000E0
9.549998437E0,0.000000000E0
9.669976562E0,0.000000000E0
9.789982812E0,0.000000000E0
9.909992187E0,0.000000000E0
1.003000000E1,0.000000000E0
1.014997656E1,0.000000000E0
1.026998438E1,0.000000000E0
1.038999375E1,0.000000000E0
1.051000156E1,0.000000000E0
1.062997813E1,0.000000000E0
1.074999688E1,0.000000000E0
1.086999375E1,0.000000000E0
1.098997188E1,0.000000000E0
1.110997969E1,0.000000000E0
1.122998750E1,0.000000000E0
1.134999531E1,0.000000000E0
1.146997188E1,0.000000000E0
1.158997969E1,0.000000000E0
1.170998906E1,0.000000000E0
1.182999844E1,0.000000000E0
1.194997500E1,0.000000000E0
1.206998281E1,0.000000000E0
1.218999062E1,0.000000000E0
1.230999844E1,0.000000000E0
