"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.999062500E-2,2.022099972E0,3.027499914E0,-6.766999960E-1
4.999375000E-2,1.859799981E0,3.192799807E0,6.947000027E-1
7.999531200E-2,2.804199934E0,5.434599876E0,-5.194000006E-1
1.099968750E-1,1.801399946E0,1.728500009E0,-3.415599823E0
1.399984370E-1,-6.046000123E-1,1.411799908E0,-4.312099934E0
1.700015620E-1,-2.390999943E-1,6.296499729E0,2.825999975E0
1.999718750E-1,-4.458499908E0,5.749599934E0,3.155400038E0
2.199937500E-1,-3.094699860E0,2.451200008E0,1.716199994E0
2.499953120E-1,1.396099925E0,-3.343999863E0,4.403999746E-1
2.799984370E-1,9.156000018E-1,-3.642199993E0,-1.163399935E0
3.100000000E-1,8.333999515E-1,-3.671399832E0,-3.057299852E0
3.400031250E-1,2.499999944E-3,-5.655299664E0,-1.220999956E0
3.699734370E-1,-1.863999963E0,-6.440499783E0,9.171999693E-1
3.899953120E-1,-2.204699993E0,-6.154599667E0,1.547199965E0
4.199984370E-1,-1.595999956E0,-3.864899874E0,2.426699877E0
4.449937500E-1,-7.705999613E-1,-2.844099998E0,2.846199989E0
4.749968750E-1,-1.049299955E0,-2.141700029E0,3.365399837E0
5.049968750E-1,-9.027999640E-1,1.325699925E0,5.385099888E0
5.350000000E-1,2.196099997E0,9.185899734E0,3.986199856E0
5.650015620E-1,1.714100003E0,5.549299717E0,5.559999943E0
5.949718750E-1,-3.827999830E-1,1.302099943E0,5.295399666E0
6.149937500E-1,-9.292999506E-1,5.073999882E0,3.648299932E0
6.449968750E-1,1.082099915E0,2.155699968E0,-2.848099947E0
6.749984370E-1,-1.884699941E0,-8.629599571E0,-1.961199999E0
7.050015620E-1,-1.192899942E0,-6.743499756E0,1.282799959E0
7.349718750E-1,3.404299974E0,3.877499819E0,4.243799686E0
7.549937500E-1,5.491699696E0,4.199100018E0,1.137899995E0
7.849968750E-1,3.470999956E0,1.960699916E0,-2.574999928E-1
8.149984370E-1,1.824399948E0,-3.049799919E0,1.731499910E0
8.450000000E-1,2.204200029E0,-3.560899973E0,2.832199812E0
8.750015620E-1,2.234599829E0,-7.933999896E-1,-3.132999837E-1
9.049734370E-1,2.825199842E0,2.628999949E-1,2.003999949E0
9.249953120E-1,2.409999847E0,-1.231799960E0,4.148499966E0
9.549968750E-1,2.058599949E0,-3.013900042E0,4.233900070E0
9.849984370E-1,2.904500008E0,-2.527099848E0,4.133899689E0
1.015001562E0,2.012300014E0,1.376099944E0,2.005499840E0
1.044971875E0,3.396899939E0,3.521600008E0,3.471899986E0
1.064993750E0,1.947699904E0,4.318299770E0,5.390999794E0
1.094995312E0,-3.677999973E-1,3.906999826E0,4.776499748E0
1.124996875E0,5.105999947E0,7.343099594E0,3.648799896E0
1.155000000E0,4.452199936E0,2.980899811E0,2.735499859E0
1.185001562E0,7.102599621E0,1.320400000E0,2.452399969E0
1.214973437E0,5.887499809E0,8.651000023E0,2.916100025E0
1.234995312E0,7.598999739E-1,8.952099800E0,2.739199877E0
1.264996875E0,-8.402000070E-1,8.683999777E-1,1.957299948E0
1.294998437E0,5.396999717E-1,-3.251799822E0,1.620000005E0
1.325001562E0,2.655900002E0,-3.991999865E0,3.739999980E-2
1.354971875E0,2.745299816E0,-2.585700035E0,-1.424899936E0
1.374993750E0,2.953699827E0,-3.183099985E0,-2.072399855E0
1.404996875E0,2.362099886E0,-5.751800060E0,-8.249999881E-1
1.434998437E0,4.799999893E-1,-6.124099731E0,1.060799956E0
1.465000000E0,1.392099977E0,-5.381000042E0,5.133000016E-1
1.495001562E0,2.533999920E0,-4.778399944E0,2.220799923E0
1.524973437E0,2.000200033E0,-3.212299824E0,4.804999828E0
1.544995312E0,4.403999746E-1,-9.194999933E-1,7.440299988E0
1.574996875E0,1.047299981E0,1.275500011E1,8.350799561E0
1.605000000E0,1.832499981E0,1.070440006E1,2.294499874E0
1.635001562E0,-9.037999511E-1,-1.166700006E0,3.006099939E0
1.664971875E0,-1.148100019E0,3.589399815E0,3.319499969E0
1.684993750E0,3.971699953E0,4.756099701E0,-1.901799917E0
1.714996875E0,2.486099958E0,-5.446399689E0,-4.825900078E0
1.744998437E0,-1.017000005E-1,-4.728300095E0,3.685999870E0
1.775000000E0,3.085700035E0,2.833999991E-1,4.251999855E0
1.805001562E0,4.081500053E0,5.812999725E0,-1.404999971E0
1.834971875E0,3.989099979E0,2.324499846E0,5.414999723E-1
1.854993750E0,3.741199970E0,-1.915799975E0,2.183300018E0
1.884996875E0,2.435699940E0,-5.785799980E0,4.338099957E0
1.915000000E0,2.303200006E0,-4.165100098E0,2.385400057E0
1.945001562E0,3.072000027E0,-8.089999557E-1,1.152199984E0
1.974971875E0,2.587299824E0,4.519999921E-1,6.025999784E-1
1.994993750E0,1.769099951E0,-1.528599977E0,2.047999859E0
2.024996875E0,1.441799998E0,-6.376000047E-1,4.145800114E0
2.054998437E0,1.122999936E-1,1.840999961E0,3.648099899E0
2.085000000E0,2.926100016E0,2.523799896E0,3.682799816E0
2.114970312E0,4.979799747E0,3.823699951E0,4.702799797E0
2.134993750E0,3.634899855E0,4.725399971E0,4.718699932E0
2.164995312E0,4.691499710E0,5.924599648E0,4.321799755E0
2.194998437E0,5.266599655E0,5.427000046E0,2.072599888E0
2.225000000E0,3.175499916E0,3.586199999E0,-5.794999599E-1
2.255001562E0,1.329499960E0,2.879799843E0,2.306999922E0
2.284971875E0,-2.080999911E-1,4.269199848E0,2.338899851E0
2.304995312E0,-1.708199978E0,4.170099735E0,2.889499903E0
2.334995312E0,-7.379999757E-1,1.348599911E0,2.015599966E0
2.364998437E0,2.791399956E0,-2.364899874E0,1.084999919E0
2.395000000E0,4.373699665E0,-3.671700001E0,-7.149999589E-2
2.435006250E0,2.762799978E0,-2.256399870E0,-2.064199924E0
2.464984375E0,1.887799978E0,-4.764999866E0,-7.220000029E-1
2.494985937E0,5.777999759E-1,-6.487299919E0,1.107599974E0
2.524987500E0,7.627999783E-1,-6.522999763E0,7.709999681E-1
2.554990625E0,6.862999797E-1,-5.557799816E0,1.697199941E0
2.584992187E0,2.987000048E-1,-3.869099855E0,3.323299885E0
2.614993750E0,-1.207999945E0,1.105000004E-1,7.195099831E0
2.644996875E0,1.228699923E0,1.731699944E1,8.026399612E0
2.674998437E0,-4.949999973E-2,5.074399948E0,3.245199919E0
2.705000000E0,-4.829599857E0,-2.199800014E0,5.666899681E0
2.734970312E0,8.883999586E-1,7.657299995E0,6.154999733E-1
2.754993750E0,7.960899830E0,2.285199881E0,-5.879099846E0
2.784995312E0,1.325500011E0,-7.431099892E0,-5.710599899E0
2.814996875E0,3.738699913E0,-3.050400019E0,6.721399784E0
2.845000000E0,3.723999977E0,6.320999861E-1,2.547799826E0
