"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.700015620E-1,2.187500000E1,-4.031250000E1,7.937500000E0
1.999718750E-1,2.156250000E1,-4.068750000E1,6.125000000E0
2.199937500E-1,2.206250000E1,-4.068750000E1,3.500000000E0
2.499953120E-1,2.300000000E1,-4.081250000E1,1.250000000E-1
2.799984370E-1,2.393750000E1,-4.043750000E1,-2.187500000E0
3.100000000E-1,2.368750000E1,-4.031250000E1,-4.125000000E0
3.400031250E-1,2.368750000E1,-4.087500000E1,-5.062500000E0
3.699734370E-1,2.331250000E1,-4.037500000E1,-5.687500000E0
3.899953120E-1,2.350000000E1,-3.975000000E1,-6.625000000E0
4.199984370E-1,2.425000000E1,-3.943750000E1,-5.562500000E0
4.500000000E-1,2.375000000E1,-4.025000000E1,-3.812500000E0
4.800015620E-1,2.200000000E1,-4.093750000E1,-2.812500000E0
5.099734370E-1,2.093750000E1,-4.150000000E1,-3.000000000E0
5.299937500E-1,2.075000000E1,-4.137500000E1,-2.500000000E0
5.599968750E-1,2.043750000E1,-4.150000000E1,-1.375000000E0
5.899984370E-1,2.075000000E1,-4.131250000E1,-1.687500000E0
6.200000000E-1,2.068750000E1,-4.162500000E1,-2.187500000E0
6.499718750E-1,2.125000000E1,-4.200000000E1,-2.500000000E0
6.699937500E-1,2.106250000E1,-4.175000000E1,-2.375000000E0
6.999953120E-1,2.006250000E1,-4.093750000E1,-2.312500000E0
7.299968750E-1,2.043750000E1,-4.075000000E1,-3.000000000E0
7.600000000E-1,2.031250000E1,-4.075000000E1,-1.812500000E0
7.900015620E-1,2.000000000E1,-4.175000000E1,1.125000000E0
8.199718750E-1,1.943750000E1,-4.187500000E1,1.750000000E0
8.399937500E-1,1.962500000E1,-4.150000000E1,2.250000000E0
8.699968750E-1,1.975000000E1,-4.168750000E1,4.437500000E0
8.999984370E-1,1.875000000E1,-4.106250000E1,5.750000000E0
9.300000000E-1,1.806250000E1,-4.162500000E1,7.875000000E0
9.599718750E-1,1.868750000E1,-4.225000000E1,9.187500000E0
9.799937500E-1,1.931250000E1,-4.175000000E1,9.812500000E0
1.009996875E0,2.031250000E1,-4.087500000E1,1.150000000E1
1.039998437E0,2.106250000E1,-3.975000000E1,1.281250000E1
1.070000000E0,2.125000000E1,-3.868750000E1,1.493750000E1
1.100001562E0,2.112500000E1,-3.925000000E1,1.662500000E1
1.129971875E0,2.100000000E1,-3.900000000E1,1.550000000E1
1.149995312E0,2.143750000E1,-3.931250000E1,1.475000000E1
1.179996875E0,2.231250000E1,-4.006250000E1,1.243750000E1
1.210000000E0,2.143750000E1,-4.000000000E1,8.000000000E0
1.240000000E0,2.193750000E1,-4.075000000E1,5.250000000E0
